f(Hz)	|H|	Gain(dB)	Phase(rad)		
100	0,00293613	-50,6445	1,56431		
120	0,00352946	-49,0458	1,56286		
140	0,00412551	-47,6905	1,56351		
160	0,00472051	-46,5202	1,56331		
180	0,00531866	-45,4840	1,56069		
200	0,00591162	-44,5659	1,56039		
220	0,00650717	-43,7322	1,55901		
240	0,00710893	-42,9639	1,55932		
260	0,00769933	-42,2709	1,55837		
280	0,0083069	-41,6112	1,55696		
300	0,00890846	-41,0040	1,55754		
320	0,00950627	-40,4398	1,55641		
340	0,0101136	-39,9019	1,55606		
360	0,0107217	-39,3947	1,55483		
380	0,0113339	-38,9124	1,55385		
400	0,0119421	-38,4584	1,55311		
420	0,0125586	-38,0211	1,5524		
440	0,0131779	-37,6031	1,5522		
460	0,0138024	-37,2009	1,55143		
480	0,014432	-36,8135	1,55068		
500	0,0150578	-36,4448	1,55028		
520	0,0156894	-36,0879	1,54902		
540	0,0163245	-35,7432	1,54823		
560	0,0169597	-35,4116	1,54734		
580	0,0175977	-35,0909	1,54697		
600	0,0182524	-34,7736	1,54596		
620	0,0188956	-34,4728	1,54514		
640	0,0195617	-34,1719	1,54457		
660	0,020216	-33,8861	1,54386		
680	0,0208753	-33,6074	1,5429		
700	0,0215456	-33,3328	1,54221		
720	0,0222183	-33,0658	1,54138		
740	0,0222348	-33,0593	1,54042		
760	0,0228862	-32,8085	1,5397		
780	0,0235701	-32,5528	1,53924		
800	0,0242448	-32,3076	1,53803		
820	0,024924	-32,0677	1,53722		
840	0,0256152	-31,8300	1,53634		
860	0,0263084	-31,5981	1,53526		
880	0,0270081	-31,3701	1,53469		
900	0,0277189	-31,1445	1,534		
920	0,0284362	-30,9226	1,53275		
940	0,0291498	-30,7073	1,5325		
960	0,0298945	-30,4882	1,53129		
980	0,0306284	-30,2775	1,53026		
1000	0,0313607	-30,0723	1,52995		
1200	0,0393394	-28,1035	1,51982		
1400	0,0484863	-26,2876	1,50913		
1600	0,0592414	-24,5475	1,4957		
1800	0,0723358	-22,8129	1,48047		
2000	0,0888314	-21,0287	1,46126		
2200	0,110576	-19,1268	1,43505		
2400	0,145839	-16,7225	1,41071		
2600	0,192768	-14,2993	1,35721		
2620	0,198845	-14,0297	1,3503		
2640	0,205208	-13,7561	1,34288		
2660	0,211876	-13,4784	1,3357		
2680	0,218891	-13,1955	1,3271		
2700	0,226323	-12,9054	1,31857		
2720	0,234240	-12,6068	1,30918		
2740	0,242617	-12,3016	1,29935		
2760	0,251450	-11,9910	1,28922		
2780	0,260904	-11,6704	1,27829		
2800	0,271013	-11,3402	1,26615		
2820	0,281687	-11,0047	1,25364		
2840	0,293132	-10,6587	1,24007		
2860	0,305392	-10,3029	1,22515		
2880	0,318487	-9,93816	1,20933		
2900	0,332672	-9,55966	1,19195		
2920	0,347902	-9,17086	1,17343		
2940	0,364187	-8,77351	1,15334		
2960	0,381925	-8,36043	1,13129		
2980	0,400991	-7,93731	1,10714		
3000	0,421750	-7,49890	1,0804		
3020	0,444204	-7,04835	1,05134		
3040	0,468518	-6,58547	1,01908		
3060	0,494936	-6,10903	0,983451		
3080	0,523416	-5,62306	0,943704		
3100	0,554328	-5,12467	0,89984		
3120	0,587219	-4,62399	0,850749		
3140	0,622401	-4,11860	0,795718		
3160	0,659497	-3,61575	0,73435		
3180	0,697808	-3,12528	0,665935		
3200	0,736569	-2,65573	0,590437		
3220	0,774213	-2,22279	0,506844		
3240	0,809222	-1,83865	0,415569		
3260	0,839410	-1,52052	0,317704		
3280	0,862464	-1,28518	0,21417		
3300	0,876740	-1,14258	0,10689		
3320	0,880836	-1,10210	-0,00187492		
3340	0,874643	-1,16339	-0,109084		
3360	0,859226	-1,31785	-0,213086		
3380	0,835879	-1,55713	-0,311286		
3400	0,806927	-1,86332	-0,40344		
3420	0,774412	-2,22056	-0,487392		
3440	0,740023	-2,61510	-0,564252		
3460	0,705070	-3,03535	-0,633842		
3480	0,670734	-3,46900	-0,695939		
3500	0,637284	-3,91334	-0,752664		
3520	0,605862	-4,35253	-0,802629		
3540	0,576385	-4,78574	-0,848274		
3560	0,548655	-5,21402	-0,888924		
3580	0,522752	-5,63408	-0,926116		
3600	0,498866	-6,04032	-0,959299		
3620	0,476540	-6,43801	-0,989518		
3640	0,456127	-6,81829	-1,01718		
3660	0,437002	-7,19034	-1,04216		
3680	0,419194	-7,55170	-1,0650		
3700	0,402874	-7,89661	-1,08613		
3720	0,387392	-8,23700	-1,10551		
3740	0,373146	-8,56242	-1,1235		
3760	0,359951	-8,87513	-1,13957		
3780	0,347496	-9,18100	-1,1554		
3800	0,335932	-9,47497	-1,16923		
4000	0,251655	-11,9839	-1,2696		
4200	0,201827	-13,9004	-1,32773		
4400	0,169107	-15,4368	-1,36488		
4600	0,146074	-16,7085	-1,39099		
4800	0,128937	-17,7924	-1,40962		
5000	0,115682	-18,7347	-1,42359		
5200	0,101135	-19,9020	-1,46034		
5400	0,0928093	-20,6482	-1,47001		
5600	0,0858726	-21,3229	-1,47874		
5800	0,0799895	-21,9393	-1,48598		
6000	0,074947	-22,5049	-1,49170 	
6200	0,0705357	-23,0318	-1,49701		
6400	0,0666899	-23,5188	-1,50186		
6600	0,0632637	-23,9769	-1,50608		
6800	0,0602141	-24,4060	-1,5099		
7000	0,0574749	-24,8104	-1,51365		
7200	0,0549715	-25,1973	-1,51652		
7400	0,0527126	-25,5617	-1,51936		
