Extraction [ img/SOLs2-2.png ] effectuee 2026-04-16 16:57:55.282432
Calibration: -0.6036*x + 675.3 [Largeur 700]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 0.0, 0.0, 0.0, 0.0
1, 674.6963999999999, 0.0, 0.0, 0.0, 0.0
2, 674.0928, 0.0, 0.0, 0.0, 0.0
3, 673.4892, 0.0, 0.0, 0.0, 0.0
4, 672.8856, 0.0, 0.0, 0.0, 0.0
5, 672.2819999999999, 0.0, 0.0, 0.0, 0.0
6, 671.6784, 0.0, 0.0, 0.0, 0.0
7, 671.0748, 0.0, 0.0, 0.0, 0.0
8, 670.4712, 0.0, 0.0, 0.0, 0.0
9, 669.8675999999999, 0.0, 0.0, 0.0, 0.0
10, 669.264, 0.0, 0.0, 0.0, 0.0
11, 668.6604, 0.0, 0.0, 0.0, 0.0
12, 668.0568, 0.0, 0.0, 0.0, 0.0
13, 667.4531999999999, 0.0, 0.0, 0.0, 0.0
14, 666.8496, 0.0, 0.0, 0.0, 0.0
15, 666.246, 0.0, 0.0, 0.0, 0.0
16, 665.6424, 0.0, 0.0, 0.0, 0.0
17, 665.0387999999999, 0.0, 0.0, 0.0, 0.0
18, 664.4352, 0.0, 0.0, 0.0, 0.0
19, 663.8316, 0.0, 0.0, 0.0, 0.0
20, 663.228, 0.0, 0.0, 0.0, 0.0
21, 662.6243999999999, 0.0, 0.0, 0.0, 0.0
22, 662.0208, 0.0, 0.0, 0.0, 0.0
23, 661.4172, 0.0, 0.0, 0.0, 0.0
24, 660.8136, 0.0, 0.0, 0.0, 0.0
25, 660.2099999999999, 0.0, 0.0, 0.0, 0.0
26, 659.6064, 0.0, 0.0, 0.0, 0.0
27, 659.0028, 0.0, 0.0, 0.0, 0.0
28, 658.3992, 0.0, 0.0, 0.0, 0.0
29, 657.7955999999999, 0.0, 0.0, 0.0, 0.0
30, 657.192, 0.0, 0.0, 0.0, 0.0
31, 656.5884, 0.0, 0.0, 0.0, 0.0
32, 655.9848, 17.327865999999997, 27.44, 11.89, 18.83
33, 655.3811999999999, 17.228046000000003, 27.34, 11.8, 18.68
34, 654.7776, 17.59494099999999, 28.39, 11.97, 18.27
35, 654.174, 17.578918999999996, 28.41, 11.95, 18.18
36, 653.5704, 17.699027999999988, 28.92, 12.06, 17.33
37, 652.9667999999999, 18.663139999999995, 29.9, 13.05, 18.12
