Extraction [ img\s2\uncompressed\20260416_171252.jpg ] effectuee 2026-04-20 19:37:34.536622
Calibration: -0.3285*x + 704.6 [largueur 2291 + 1091]

pixel, longueur d'onde, intensite, r, g, b
0, 704.6, 31.369994696969687, 47.32575757575758, 23.265151515151516, 31.295454545454547
1, 704.2715000000001, 31.707230303030297, 48.0, 23.424242424242426, 31.666666666666668
2, 703.943, 31.199705303030303, 47.49242424242424, 22.916666666666668, 31.15909090909091
3, 703.6145, 32.0364303030303, 49.03030303030303, 23.454545454545453, 31.696969696969695
4, 703.2860000000001, 31.672830303030285, 48.666666666666664, 23.09090909090909, 31.333333333333332
5, 702.9575, 31.847788636363628, 49.234848484848484, 23.189393939393938, 30.87121212121212
6, 702.629, 32.02201363636365, 49.40909090909091, 23.363636363636363, 31.045454545454547
7, 702.3005, 33.030541666666664, 50.79545454545455, 24.174242424242426, 32.083333333333336
8, 701.972, 31.992766666666665, 49.75757575757576, 23.136363636363637, 31.045454545454547
9, 701.6435, 33.114140151515144, 51.17424242424242, 24.15909090909091, 31.901515151515152
10, 701.315, 32.652065151515146, 50.71212121212121, 23.696969696969695, 31.439393939393938
11, 700.9865, 33.7193946969697, 51.96212121212121, 24.674242424242426, 32.49242424242424
12, 700.658, 33.74673030303029, 52.015151515151516, 24.689393939393938, 32.515151515151516
13, 700.3295, 32.720484090909096, 51.82575757575758, 23.28030303030303, 31.265151515151516
14, 700.001, 32.66004772727274, 51.79545454545455, 23.204545454545453, 31.204545454545453
15, 699.6725, 32.81724621212122, 52.083333333333336, 23.325757575757574, 31.204545454545453
16, 699.344, 33.2565962121212, 52.52272727272727, 23.765151515151516, 31.643939393939394
17, 699.0155, 32.81176742424243, 52.47727272727273, 23.189393939393938, 30.825757575757574
18, 698.687, 32.50876742424242, 52.17424242424242, 22.886363636363637, 30.522727272727273
19, 698.3585, 33.094683333333336, 53.015151515151516, 23.363636363636363, 31.0
20, 698.03, 33.61735833333332, 53.53787878787879, 23.886363636363637, 31.522727272727273
21, 697.7015, 34.452508333333334, 55.21969696969697, 24.34090909090909, 32.09848484848485
22, 697.373, 34.34645833333334, 55.11363636363637, 24.234848484848484, 31.992424242424242
23, 697.0445, 34.39834393939394, 55.5, 24.151515151515152, 31.863636363636363
24, 696.716, 34.012018939393954, 55.11363636363637, 23.765151515151516, 31.477272727272727
