Extraction [ img/sample.png ] effectuee 2026-03-25 21:34:51.676945
Calibration: -1.0900552854193033*x + 932.6392459868115 [Largeur 700]

pixel, longueur d'onde, intensite, r, g, b
0, 932.6392459868115, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
1, 931.5491907013921, 1.2665399999999989, 1.2666666666666666, 1.2666666666666666, 1.2666666666666666
2, 930.4591354159729, 1.216544999999999, 1.2166666666666666, 1.2166666666666666, 1.2166666666666666
3, 929.3690801305536, 1.0165649999999986, 1.0166666666666666, 1.0166666666666666, 1.0166666666666666
4, 928.2790248451342, 1.0165649999999986, 1.0166666666666666, 1.0166666666666666, 1.0166666666666666
5, 927.188969559715, 0.9998999999999986, 1.0, 1.0, 1.0
6, 926.0989142742957, 0.9998999999999986, 1.0, 1.0, 1.0
7, 925.0088589888763, 0.9998999999999986, 1.0, 1.0, 1.0
8, 923.9188037034571, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
9, 922.8287484180378, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
10, 921.7386931326184, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
11, 920.6486378471991, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
12, 919.5585825617799, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
13, 918.4685272763605, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
14, 917.3784719909412, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
15, 916.288416705522, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
16, 915.1983614201026, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
17, 914.1083061346833, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
18, 913.0182508492641, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
19, 911.9281955638447, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
20, 910.8381402784254, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
21, 909.7480849930062, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
22, 908.6580297075868, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
23, 907.5679744221675, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
24, 906.4779191367483, 1.9997999999999971, 2.0, 2.0, 2.0
25, 905.3878638513289, 1.9997999999999971, 2.0, 2.0, 2.0
26, 904.2978085659096, 1.9997999999999971, 2.0, 2.0, 2.0
27, 903.2077532804904, 1.9997999999999971, 2.0, 2.0, 2.0
28, 902.117697995071, 1.9997999999999971, 2.0, 2.0, 2.0
29, 901.0276427096517, 1.9997999999999971, 2.0, 2.0, 2.0
30, 899.9375874242323, 1.9997999999999971, 2.0, 2.0, 2.0
31, 898.8475321388131, 1.9997999999999971, 2.0, 2.0, 2.0
32, 897.7574768533938, 1.9997999999999971, 2.0, 2.0, 2.0
33, 896.6674215679744, 1.9997999999999971, 2.0, 2.0, 2.0
34, 895.5773662825552, 1.9997999999999971, 2.0, 2.0, 2.0
35, 894.4873109971359, 1.9997999999999971, 2.0, 2.0, 2.0
36, 893.3972557117165, 1.9997999999999971, 2.0, 2.0, 2.0
37, 892.3072004262973, 1.9997999999999971, 2.0, 2.0, 2.0
38, 891.217145140878, 1.9997999999999971, 2.0, 2.0, 2.0
39, 890.1270898554586, 1.9997999999999971, 2.0, 2.0, 2.0
40, 889.0370345700394, 1.9997999999999971, 2.0, 2.0, 2.0
41, 887.94697928462, 1.9997999999999971, 2.0, 2.0, 2.0
42, 886.8569239992007, 1.9997999999999971, 2.0, 2.0, 2.0
43, 885.7668687137815, 1.9997999999999971, 2.0, 2.0, 2.0
44, 884.6768134283622, 1.9997999999999971, 2.0, 2.0, 2.0
45, 883.5867581429428, 1.9997999999999971, 2.0, 2.0, 2.0
46, 882.4967028575236, 1.9997999999999971, 2.0, 2.0, 2.0
47, 881.4066475721042, 1.9997999999999971, 2.0, 2.0, 2.0
48, 880.3165922866849, 1.9997999999999971, 2.0, 2.0, 2.0
49, 879.2265370012656, 1.9997999999999971, 2.0, 2.0, 2.0
50, 878.1364817158463, 1.9997999999999971, 2.0, 2.0, 2.0
51, 877.046426430427, 1.9997999999999971, 2.0, 2.0, 2.0
52, 875.9563711450077, 1.9997999999999971, 2.0, 2.0, 2.0
53, 874.8663158595884, 1.9997999999999971, 2.0, 2.0, 2.0
54, 873.7762605741691, 1.9997999999999971, 2.0, 2.0, 2.0
55, 872.6862052887498, 1.9997999999999971, 2.0, 2.0, 2.0
56, 871.5961500033305, 1.9997999999999971, 2.0, 2.0, 2.0
57, 870.5060947179112, 1.9997999999999971, 2.0, 2.0, 2.0
58, 869.4160394324919, 1.9997999999999971, 2.0, 2.0, 2.0
59, 868.3259841470726, 1.9997999999999971, 2.0, 2.0, 2.0
60, 867.2359288616533, 1.9997999999999971, 2.0, 2.0, 2.0
61, 866.145873576234, 1.9997999999999971, 2.0, 2.0, 2.0
62, 865.0558182908147, 1.9997999999999971, 2.0, 2.0, 2.0
63, 863.9657630053954, 1.9997999999999971, 2.0, 2.0, 2.0
64, 862.875707719976, 1.9997999999999971, 2.0, 2.0, 2.0
65, 861.7856524345568, 1.9997999999999971, 2.0, 2.0, 2.0
66, 860.6955971491375, 1.9997999999999971, 2.0, 2.0, 2.0
67, 859.6055418637181, 1.9997999999999971, 2.0, 2.0, 2.0
68, 858.5154865782988, 1.9997999999999971, 2.0, 2.0, 2.0
69, 857.4254312928796, 1.9997999999999971, 2.0, 2.0, 2.0
70, 856.3353760074602, 1.9997999999999971, 2.0, 2.0, 2.0
71, 855.245320722041, 1.9997999999999971, 2.0, 2.0, 2.0
72, 854.1552654366217, 1.9997999999999971, 2.0, 2.0, 2.0
73, 853.0652101512023, 1.9997999999999971, 2.0, 2.0, 2.0
74, 851.975154865783, 1.9997999999999971, 2.0, 2.0, 2.0
75, 850.8850995803638, 1.9997999999999971, 2.0, 2.0, 2.0
76, 849.7950442949444, 1.9997999999999971, 2.0, 2.0, 2.0
77, 848.7049890095251, 1.9997999999999971, 2.0, 2.0, 2.0
78, 847.6149337241059, 1.9997999999999971, 2.0, 2.0, 2.0
79, 846.5248784386865, 1.9997999999999971, 2.0, 2.0, 2.0
80, 845.4348231532672, 1.9997999999999971, 2.0, 2.0, 2.0
81, 844.344767867848, 1.9997999999999971, 2.0, 2.0, 2.0
82, 843.2547125824286, 1.9997999999999971, 2.0, 2.0, 2.0
83, 842.1646572970093, 1.9997999999999971, 2.0, 2.0, 2.0
84, 841.0746020115901, 1.9997999999999971, 2.0, 2.0, 2.0
85, 839.9845467261707, 1.9997999999999971, 2.0, 2.0, 2.0
86, 838.8944914407514, 1.9997999999999971, 2.0, 2.0, 2.0
87, 837.804436155332, 1.9997999999999971, 2.0, 2.0, 2.0
88, 836.7143808699128, 1.9997999999999971, 2.0, 2.0, 2.0
