Extraction [ img/BLANCs2.png ] effectuee 2026-04-16 16:41:47.102345
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 12.939492, 28.48, 5.98, 8.04
1, 674.6963999999999, 13.893633999999999, 29.46, 6.92, 9.0
2, 674.0928, 14.363645999999994, 29.94, 7.62, 8.26
3, 673.4892, 14.403641999999998, 29.98, 7.66, 8.3
4, 672.8856, 14.692497999999992, 31.42, 7.38, 8.5
5, 672.2819999999999, 15.092458000000008, 31.82, 7.78, 8.9
6, 671.6784, 15.028411999999996, 32.68, 7.4, 8.04
7, 671.0748, 14.912338, 32.62, 7.26, 7.9
8, 670.4712, 15.337825999999998, 33.74, 7.5, 7.46
9, 669.8675999999999, 15.817778000000002, 34.22, 7.98, 7.94
10, 669.264, 15.944982000000005, 34.58, 8.06, 7.7
11, 668.6604, 17.040312000000004, 35.68, 9.16, 8.76
12, 668.0568, 16.363506, 35.74, 8.26, 7.3
13, 667.4531999999999, 16.323510000000006, 35.7, 8.22, 7.26
14, 666.8496, 16.734821999999998, 36.98, 8.3, 7.1
15, 666.246, 18.054689999999997, 38.3, 9.62, 8.42
16, 665.6424, 17.596224, 38.96, 8.6, 7.92
17, 665.0387999999999, 17.716211999999995, 39.08, 8.72, 8.04
18, 664.4352, 17.572598000000003, 39.22, 8.54, 7.34
19, 663.8316, 18.532501999999994, 40.18, 9.5, 8.3
20, 663.228, 19.420896000000003, 41.84, 10.04, 8.96
21, 662.6243999999999, 19.015389999999993, 41.5, 9.6, 8.56
22, 662.0208, 19.033360000000002, 42.6, 9.02, 8.82
23, 661.4172, 19.138466000000005, 42.74, 9.12, 8.86
24, 660.8136, 19.962180000000004, 44.2, 9.64, 9.58
25, 660.2099999999999, 20.806995999999994, 45.04, 10.5, 10.36
26, 659.6064, 22.133830000000007, 46.5, 11.78, 11.58
27, 659.0028, 22.09383400000001, 46.46, 11.74, 11.54
28, 658.3992, 21.936296, 47.04, 11.32, 10.8
29, 657.7955999999999, 22.145736000000003, 47.24, 11.54, 10.98
30, 657.192, 23.013706, 48.54, 12.38, 10.86
31, 656.5884, 23.204566, 48.74, 12.58, 10.98
32, 655.9848, 23.560318000000006, 49.82, 12.64, 10.96
33, 655.3811999999999, 24.948879999999996, 51.4, 14.1, 11.48
34, 654.7776, 25.400194000000006, 52.46, 14.5, 10.6
35, 654.174, 26.032810000000005, 53.1, 15.38, 9.94
36, 653.5704, 26.128716, 53.44, 15.58, 8.86
37, 652.9667999999999, 26.55383, 53.7, 16.3, 8.2
38, 652.3632, 27.014502000000004, 54.58, 16.66, 8.08
39, 651.7596, 26.941765999999998, 54.54, 16.84, 6.62
40, 651.156, 26.94233999999999, 55.4, 16.64, 5.4
41, 650.5523999999999, 27.337591999999994, 55.88, 17.1, 5.24
42, 649.9488, 27.624295999999994, 56.84, 17.22, 4.62
43, 649.3452, 28.813637999999983, 58.02, 18.42, 5.78
44, 648.7416, 29.42277, 59.1, 18.9, 5.82
45, 648.1379999999999, 29.659388000000007, 59.32, 19.16, 5.98
46, 647.5344, 30.401540000000004, 60.4, 19.82, 6.26
