Extraction [ img/dil.png ] effectuee 2026-03-26 16:58:28.093969
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 16.928243333333334, 34.56666666666667, 9.133333333333333, 10.833333333333334
1, 674.6963999999999, 17.414593333333332, 36.06666666666667, 9.133333333333333, 11.166666666666666
2, 674.0928, 17.21663, 37.03333333333333, 8.433333333333334, 10.5
3, 673.4892, 17.37748, 37.53333333333333, 8.433333333333334, 10.6
4, 672.8856, 18.169513333333335, 39.86666666666667, 8.633333333333333, 10.4
5, 672.2819999999999, 18.61986333333333, 41.03333333333333, 8.8, 10.433333333333334
6, 671.6784, 18.774556666666665, 42.1, 8.533333333333333, 10.366666666666667
7, 671.0748, 19.085226666666664, 44.06666666666667, 8.1, 10.166666666666666
8, 670.4712, 19.75506666666667, 45.333333333333336, 8.466666666666667, 10.833333333333334
9, 669.8675999999999, 19.66963, 46.7, 7.8, 9.933333333333334
10, 669.264, 20.685816666666668, 48.5, 8.433333333333334, 10.866666666666667
11, 668.6604, 21.101499999999998, 50.0, 8.3, 11.266666666666667
12, 668.0568, 20.69461666666666, 50.833333333333336, 7.266666666666667, 10.833333333333334
13, 667.4531999999999, 20.60259333333333, 51.4, 6.866666666666666, 10.6
14, 666.8496, 21.32565333333333, 54.46666666666667, 6.433333333333334, 11.133333333333333
15, 666.246, 20.67189666666667, 54.36666666666667, 5.5, 10.466666666666667
16, 665.6424, 21.267426666666672, 56.06666666666667, 5.5, 11.233333333333333
17, 665.0387999999999, 22.145416666666666, 57.833333333333336, 5.966666666666667, 11.9
18, 664.4352, 22.192516666666673, 58.5, 5.733333333333333, 11.766666666666667
19, 663.8316, 22.87684666666667, 60.53333333333333, 5.766666666666667, 12.266666666666667
20, 663.228, 22.118583333333337, 60.5, 4.666666666666667, 11.366666666666667
21, 662.6243999999999, 22.57412, 62.13333333333333, 4.533333333333333, 11.766666666666667
22, 662.0208, 23.614546666666666, 64.2, 5.033333333333333, 12.9
23, 661.4172, 24.19816333333333, 65.7, 5.166666666666667, 13.4
24, 660.8136, 23.549649999999993, 66.16666666666667, 3.966666666666667, 12.666666666666666
25, 660.2099999999999, 24.139739999999996, 68.26666666666667, 3.7666666666666666, 13.366666666666667
26, 659.6064, 24.214166666666664, 69.66666666666667, 3.2, 13.266666666666667
27, 659.0028, 24.238569999999996, 70.96666666666667, 2.566666666666667, 13.333333333333334
