Extraction [ img/dil.png ] effectuee 2026-03-26 17:02:39.942684
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 9.465823333333335, 13.766666666666667, 7.633333333333334, 7.633333333333334
1, 674.6963999999999, 9.690246666666665, 13.866666666666667, 7.9, 7.966666666666667
2, 674.0928, 9.87272, 14.133333333333333, 8.133333333333333, 7.666666666666667
3, 673.4892, 9.467580000000002, 13.866666666666667, 7.766666666666667, 6.7
4, 672.8856, 8.857676666666666, 13.233333333333333, 7.166666666666667, 6.1
5, 672.2819999999999, 9.155286666666665, 13.8, 7.333333333333333, 6.366666666666666
6, 671.6784, 10.10028666666667, 14.8, 8.233333333333333, 7.4
7, 671.0748, 10.284709999999999, 15.233333333333333, 8.333333333333334, 7.366666666666666
8, 670.4712, 9.898363333333332, 15.033333333333333, 7.9, 6.733333333333333
9, 669.8675999999999, 9.867396666666666, 15.033333333333333, 7.866666666666666, 6.633333333333334
10, 669.264, 10.360163333333333, 15.7, 8.366666666666667, 6.633333333333334
11, 668.6604, 9.926873333333333, 15.266666666666667, 7.933333333333334, 6.2
12, 668.0568, 10.131579999999998, 15.533333333333333, 8.133333333333333, 6.266666666666667
13, 667.4531999999999, 10.22361, 15.566666666666666, 8.266666666666667, 6.3
14, 666.8496, 10.161109999999999, 15.566666666666666, 8.166666666666666, 6.266666666666667
15, 666.246, 10.119256666666667, 15.766666666666667, 8.0, 6.233333333333333
16, 665.6424, 10.715396666666667, 16.366666666666667, 8.6, 6.8
17, 665.0387999999999, 10.875169999999999, 16.966666666666665, 8.566666666666666, 6.8
18, 664.4352, 10.37830333333333, 16.633333333333333, 8.0, 6.233333333333333
19, 663.8316, 9.91764, 16.266666666666666, 7.466666666666667, 5.9
20, 663.228, 10.109096666666666, 16.7, 7.533333333333333, 6.1
21, 662.6243999999999, 10.542386666666667, 17.133333333333333, 7.966666666666667, 6.533333333333333
22, 662.0208, 10.771896666666663, 17.366666666666667, 8.2, 6.733333333333333
23, 661.4172, 10.598723333333334, 17.1, 8.066666666666666, 6.6
24, 660.8136, 10.879486666666669, 17.466666666666665, 8.3, 6.9
25, 660.2099999999999, 11.67088333333333, 18.5, 8.966666666666667, 7.7
26, 659.6064, 11.294289999999998, 18.1, 8.6, 7.333333333333333
27, 659.0028, 11.502949999999997, 18.5, 8.7, 7.6
28, 658.3992, 11.473419999999999, 18.466666666666665, 8.666666666666666, 7.6
29, 657.7955999999999, 11.132523333333333, 18.433333333333334, 8.2, 7.1
30, 657.192, 10.93562666666667, 18.4, 7.933333333333334, 6.833333333333333
31, 656.5884, 11.48267, 18.966666666666665, 8.466666666666667, 7.4
32, 655.9848, 11.685736666666669, 19.633333333333333, 8.466666666666667, 7.433333333333334
33, 655.3811999999999, 12.141316666666667, 20.166666666666668, 8.9, 7.8
34, 654.7776, 12.423366666666665, 20.666666666666668, 9.1, 7.933333333333334
35, 654.174, 12.21363, 20.366666666666667, 8.966666666666667, 7.566666666666666
36, 653.5704, 12.16761666666667, 20.5, 8.833333333333334, 7.5
37, 652.9667999999999, 13.064253333333335, 22.8, 9.066666666666666, 8.133333333333333
38, 652.3632, 13.150839999999997, 22.933333333333334, 9.133333333333333, 8.2
39, 651.7596, 12.900123333333333, 23.1, 8.666666666666666, 7.966666666666667
40, 651.156, 13.411116666666668, 23.833333333333332, 9.066666666666666, 8.466666666666667
41, 650.5523999999999, 14.160863333333339, 24.7, 9.766666666666667, 9.166666666666666
