Extraction [ img/dil.png ] effectuee 2026-03-26 17:08:45.076233
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 8.007725, 12.25, 6.2, 6.2
1, 674.6963999999999, 8.442734999999999, 12.65, 6.65, 6.65
2, 674.0928, 8.342744999999999, 12.55, 6.55, 6.55
3, 673.4892, 8.657659999999998, 12.9, 6.85, 6.85
4, 672.8856, 9.907535, 14.15, 8.1, 8.1
5, 672.2819999999999, 8.743784999999999, 13.15, 6.85, 6.95
6, 671.6784, 9.540699999999998, 14.0, 7.6, 7.85
7, 671.0748, 9.550880000000001, 14.2, 7.7, 6.9
8, 670.4712, 9.480324999999999, 14.25, 7.7, 6.15
9, 669.8675999999999, 9.511829999999998, 14.2, 7.75, 6.3
10, 669.264, 9.750715, 14.35, 8.1, 6.2
11, 668.6604, 10.556875000000002, 15.25, 8.85, 7.05
12, 668.0568, 9.947929999999998, 15.7, 7.7, 6.45
13, 667.4531999999999, 10.090289999999998, 16.1, 7.7, 6.65
14, 666.8496, 10.078349999999999, 16.0, 7.75, 6.55
15, 666.246, 8.999415, 14.85, 6.75, 5.25
16, 665.6424, 9.764284999999997, 15.65, 7.5, 6.0
17, 665.0387999999999, 9.962035000000002, 16.65, 7.25, 6.4
18, 664.4352, 11.15375, 18.0, 8.35, 7.65
19, 663.8316, 11.258905, 18.45, 8.3, 7.65
20, 663.228, 10.582629999999998, 18.2, 7.45, 6.75
21, 662.6243999999999, 11.387710000000002, 18.9, 8.3, 7.6
22, 662.0208, 11.50234, 19.6, 8.1, 7.8
23, 661.4172, 11.822415000000003, 19.85, 8.45, 8.15
24, 660.8136, 12.157439999999998, 20.6, 8.6, 8.35
25, 660.2099999999999, 12.137874999999998, 20.75, 8.5, 8.3
26, 659.6064, 12.032724999999996, 20.75, 8.35, 8.15
27, 659.0028, 11.613209999999999, 21.4, 7.45, 7.4
28, 658.3992, 13.098115000000002, 22.85, 8.95, 8.9
29, 657.7955999999999, 13.133175, 23.75, 8.6, 8.65
30, 657.192, 13.303810000000002, 24.4, 8.55, 8.7
31, 656.5884, 13.496165, 24.85, 8.6, 8.95
32, 655.9848, 13.689379999999996, 26.2, 8.3, 8.65
33, 655.3811999999999, 14.365659999999997, 26.9, 8.95, 9.4
34, 654.7776, 14.386544999999998, 28.05, 8.4, 9.4
35, 654.174, 13.85748, 28.2, 7.5, 9.0
36, 653.5704, 13.74964, 28.6, 7.2, 8.55
37, 652.9667999999999, 14.446119999999999, 30.3, 7.55, 8.4
38, 652.3632, 14.489024999999998, 30.25, 7.6, 8.65
39, 651.7596, 15.789445, 32.55, 8.45, 9.65
40, 651.156, 16.0234, 33.0, 8.6, 9.75
41, 650.5523999999999, 15.562590000000004, 33.1, 7.9, 9.05
42, 649.9488, 15.191219999999998, 33.3, 7.35, 8.1
43, 649.3452, 15.318095, 33.55, 7.4, 8.3
44, 648.7416, 16.130194999999997, 35.55, 7.6, 9.15
45, 648.1379999999999, 15.568000000000001, 35.0, 7.0, 8.75
46, 647.5344, 15.676704999999998, 35.95, 6.75, 8.5
47, 646.9308, 16.50706, 37.4, 7.3, 9.15
48, 646.3272, 17.298275000000004, 38.25, 8.05, 10.0
49, 645.7235999999999, 16.779850000000003, 39.0, 6.95, 9.15
50, 645.12, 17.394195000000003, 39.55, 7.6, 9.75
51, 644.5164, 17.07466, 39.4, 7.2, 9.4
52, 643.9128, 17.468385, 40.15, 7.45, 9.6
