Extraction [ img/sample.png ] effectuée 2026-03-22 10:13:01.860111
Calibration: -1.0901551988276827*x + 942.3587668465109

pixel, longueur d'onde, intensite, r, g, b
0, 942.3587668465109, 1.3399999999999996, 1.34, 1.34, 1.34
1, 941.2686116476832, 1.3399999999999996, 1.34, 1.34, 1.34
2, 940.1784564488555, 1.3399999999999996, 1.34, 1.34, 1.34
3, 939.0883012500278, 1.3399999999999996, 1.34, 1.34, 1.34
4, 937.9981460512001, 1.3399999999999996, 1.34, 1.34, 1.34
5, 936.9079908523724, 1.3399999999999996, 1.34, 1.34, 1.34
6, 935.8178356535448, 1.3399999999999996, 1.34, 1.34, 1.34
7, 934.7276804547171, 1.3399999999999996, 1.34, 1.34, 1.34
8, 933.6375252558894, 1.3399999999999996, 1.34, 1.34, 1.34
9, 932.5473700570617, 1.3399999999999996, 1.34, 1.34, 1.34
10, 931.457214858234, 1.3399999999999996, 1.34, 1.34, 1.34
11, 930.3670596594063, 1.3199999999999996, 1.32, 1.32, 1.32
12, 929.2769044605787, 1.2599999999999998, 1.26, 1.26, 1.26
13, 928.1867492617511, 1.0199999999999998, 1.02, 1.02, 1.02
14, 927.0965940629234, 1.0199999999999998, 1.02, 1.02, 1.02
15, 926.0064388640957, 0.9999999999999999, 1.0, 1.0, 1.0
16, 924.916283665268, 0.9999999999999999, 1.0, 1.0, 1.0
17, 923.8261284664403, 0.9999999999999999, 1.0, 1.0, 1.0
18, 922.7359732676126, 1.3199999999999996, 1.32, 1.32, 1.32
19, 921.6458180687849, 1.3199999999999996, 1.32, 1.32, 1.32
20, 920.5556628699572, 1.3199999999999996, 1.32, 1.32, 1.32
21, 919.4655076711296, 1.3199999999999996, 1.32, 1.32, 1.32
22, 918.3753524723019, 1.3199999999999996, 1.32, 1.32, 1.32
23, 917.2851972734742, 1.3199999999999996, 1.32, 1.32, 1.32
24, 916.1950420746465, 1.3199999999999996, 1.32, 1.32, 1.32
25, 915.1048868758188, 1.3199999999999996, 1.32, 1.32, 1.32
26, 914.0147316769911, 1.3199999999999996, 1.32, 1.32, 1.32
27, 912.9245764781634, 1.3199999999999996, 1.32, 1.32, 1.32
28, 911.8344212793357, 1.3199999999999996, 1.32, 1.32, 1.32
29, 910.744266080508, 1.3199999999999996, 1.32, 1.32, 1.32
30, 909.6541108816804, 1.3199999999999996, 1.32, 1.32, 1.32
31, 908.5639556828527, 1.3199999999999996, 1.32, 1.32, 1.32
32, 907.473800484025, 1.3199999999999996, 1.32, 1.32, 1.32
33, 906.3836452851974, 1.3199999999999996, 1.32, 1.32, 1.32
34, 905.2934900863697, 1.9999999999999998, 2.0, 2.0, 2.0
35, 904.203334887542, 1.9999999999999998, 2.0, 2.0, 2.0
36, 903.1131796887144, 1.9999999999999998, 2.0, 2.0, 2.0
