Extraction [ img/sample.png ] effectuee 2026-03-22 10:52:07.503699
Calibration: -1.0900552854193033*x + 942.6392459868115

pixel, longueur d'onde, intensite, r, g, b
0, 942.6392459868115, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
1, 941.5491907013921, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
2, 940.4591354159729, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
3, 939.3690801305536, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
4, 938.2790248451342, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
5, 937.188969559715, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
6, 936.0989142742957, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
7, 935.0088589888763, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
8, 933.9188037034571, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
9, 932.8287484180378, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
10, 931.7386931326184, 1.2832049999999988, 1.2833333333333334, 1.2833333333333334, 1.2833333333333334
11, 930.6486378471991, 1.2665399999999989, 1.2666666666666666, 1.2666666666666666, 1.2666666666666666
12, 929.5585825617799, 1.216544999999999, 1.2166666666666666, 1.2166666666666666, 1.2166666666666666
13, 928.4685272763605, 1.0165649999999986, 1.0166666666666666, 1.0166666666666666, 1.0166666666666666
14, 927.3784719909412, 1.0165649999999986, 1.0166666666666666, 1.0166666666666666, 1.0166666666666666
15, 926.288416705522, 0.9998999999999986, 1.0, 1.0, 1.0
16, 925.1983614201026, 0.9998999999999986, 1.0, 1.0, 1.0
17, 924.1083061346833, 0.9998999999999986, 1.0, 1.0, 1.0
18, 923.0182508492641, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
19, 921.9281955638447, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
20, 920.8381402784254, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
21, 919.7480849930062, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
22, 918.6580297075868, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
23, 917.5679744221675, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
24, 916.4779191367483, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
25, 915.3878638513289, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
26, 914.2978085659096, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
27, 913.2077532804904, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
28, 912.117697995071, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
29, 911.0276427096517, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
30, 909.9375874242323, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
31, 908.8475321388131, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
32, 907.7574768533938, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
33, 906.6674215679744, 1.4331899999999984, 1.4333333333333333, 1.4333333333333333, 1.4333333333333333
34, 905.5773662825552, 1.9997999999999971, 2.0, 2.0, 2.0
35, 904.4873109971359, 1.9997999999999971, 2.0, 2.0, 2.0
36, 903.3972557117165, 1.9997999999999971, 2.0, 2.0, 2.0
37, 902.3072004262973, 1.9997999999999971, 2.0, 2.0, 2.0
38, 901.217145140878, 1.9997999999999971, 2.0, 2.0, 2.0
39, 900.1270898554586, 1.9997999999999971, 2.0, 2.0, 2.0
40, 899.0370345700394, 1.9997999999999971, 2.0, 2.0, 2.0
41, 897.94697928462, 1.9997999999999971, 2.0, 2.0, 2.0
42, 896.8569239992007, 1.9997999999999971, 2.0, 2.0, 2.0
43, 895.7668687137815, 1.9997999999999971, 2.0, 2.0, 2.0
44, 894.6768134283622, 1.9997999999999971, 2.0, 2.0, 2.0
45, 893.5867581429428, 1.9997999999999971, 2.0, 2.0, 2.0
46, 892.4967028575236, 1.9997999999999971, 2.0, 2.0, 2.0
47, 891.4066475721042, 1.9997999999999971, 2.0, 2.0, 2.0
48, 890.3165922866849, 1.9997999999999971, 2.0, 2.0, 2.0
49, 889.2265370012656, 1.9997999999999971, 2.0, 2.0, 2.0
50, 888.1364817158463, 1.9997999999999971, 2.0, 2.0, 2.0
51, 887.046426430427, 1.9997999999999971, 2.0, 2.0, 2.0
52, 885.9563711450077, 1.9997999999999971, 2.0, 2.0, 2.0
53, 884.8663158595884, 1.9997999999999971, 2.0, 2.0, 2.0
