Extraction [ img/s4/seq3/b1.jpg ] effectuee 2026-05-28 17:13:07.479869
Calibration: -0.2664195129856975*x + 663.5294963737288 [largueur 2619 + 934]

pixel, longueur d'onde, intensite, r, g, b
0, 663.5294963737288, 92.0305008695652, 188.90434782608696, 43.791304347826085, 86.50434782608696
1, 663.263076860743, 93.12119217391309, 191.12173913043478, 44.12173913043478, 88.55652173913043
2, 662.9966573477574, 93.09510782608696, 191.09565217391304, 44.095652173913045, 88.5304347826087
3, 662.7302378347716, 94.27297565217384, 192.8521739130435, 44.88695652173913, 90.18260869565218
4, 662.463818321786, 93.76713826086953, 192.61739130434782, 44.21739130434783, 89.80869565217391
5, 662.1973988088002, 94.08029304347824, 194.54782608695652, 43.391304347826086, 91.74782608695652
6, 661.9309792958146, 93.78081217391303, 194.48695652173913, 42.93913043478261, 91.6086956521739
7, 661.6645597828289, 93.92078608695651, 195.26956521739132, 42.66086956521739, 92.21739130434783
8, 661.3981402698432, 93.81644869565208, 195.16521739130434, 42.55652173913043, 92.11304347826086
9, 661.1317207568575, 93.90508173913044, 196.1391304347826, 42.017391304347825, 93.11304347826086
10, 660.8653012438718, 94.49608608695652, 196.7913043478261, 42.573913043478264, 93.72173913043478
11, 660.5988817308861, 95.00556695652172, 198.6782608695652, 42.165217391304346, 95.34782608695652
12, 660.3324622179003, 94.28162260869563, 198.03478260869565, 41.391304347826086, 94.66956521739131
13, 660.0660427049147, 94.8235373913043, 200.10434782608695, 40.904347826086955, 96.50434782608696
14, 659.799623191929, 94.76350434782607, 200.17391304347825, 40.756521739130434, 96.55652173913043
15, 659.5332036789433, 95.71303043478265, 202.47826086956522, 40.81739130434783, 98.5304347826087
16, 659.2667841659576, 95.20834434782611, 202.03478260869565, 40.2695652173913, 98.08695652173913
17, 659.0003646529719, 95.37676260869561, 203.41739130434783, 39.68695652173913, 98.93913043478261
18, 658.7339451399862, 95.4482495652174, 203.50434782608696, 39.73913043478261, 99.0695652173913
19, 658.4675256270006, 96.42869565217393, 204.95652173913044, 40.391304347826086, 100.50434782608696
20, 658.2011061140148, 95.5186652173913, 204.2173913043478, 39.391304347826086, 99.6086956521739
21, 657.9346866010292, 96.2625052173913, 206.33913043478262, 39.25217391304348, 101.28695652173913
22, 657.6682670880434, 96.14549565217385, 206.43478260869566, 39.02608695652174, 101.17391304347827
23, 657.4018475750577, 96.68864521739133, 207.63478260869564, 39.14782608695652, 102.16521739130435
24, 657.135428062072, 96.15429826086964, 207.10434782608695, 38.61739130434783, 101.6
25, 656.8690085490863, 97.05823739130437, 208.9304347826087, 38.982608695652175, 102.86086956521739
26, 656.6025890361007, 97.21347130434782, 209.11304347826086, 39.130434782608695, 102.98260869565217
27, 656.3361695231149, 97.40877739130435, 210.48695652173913, 38.59130434782609, 103.8695652173913
28, 656.0697500101293, 97.6033182608696, 210.73043478260868, 38.756521739130434, 104.08695652173913
29, 655.8033304971435, 98.35965913043479, 212.45217391304348, 38.92173913043478, 105.35652173913043
30, 655.5369109841579, 98.19189913043483, 212.31304347826088, 38.7304347826087, 105.23478260869565
31, 655.2704914711721, 98.35317739130434, 213.44347826086957, 38.31304347826087, 105.83478260869565
32, 655.0040719581864, 97.92060869565218, 213.04347826086956, 37.86086956521739, 105.41739130434783
33, 654.7376524452008, 99.06593826086954, 214.96521739130435, 38.55652173913043, 106.84347826086956
34, 654.471232932215, 99.05124173913039, 214.97391304347826, 38.530434782608694, 106.82608695652173
35, 654.2048134192294, 99.25384695652174, 215.61739130434782, 38.43478260869565, 107.40869565217392
36, 653.9383939062436, 99.4400286956522, 215.88695652173914, 38.582608695652176, 107.57391304347826
37, 653.671974393258, 99.96160347826087, 217.70434782608694, 38.417391304347824, 108.23478260869565
38, 653.4055548802722, 99.54311565217392, 217.36521739130436, 37.95652173913044, 107.82608695652173
39, 653.1391353672866, 99.65305565217389, 217.87826086956522, 37.85217391304348, 107.98260869565217
40, 652.8727158543008, 99.50737478260878, 217.73043478260868, 37.71304347826087, 107.80869565217391
41, 652.6062963413152, 99.0199617391304, 218.2086956521739, 36.6695652173913, 107.65217391304348
42, 652.3398768283295, 98.92257826086954, 218.1304347826087, 36.573913043478264, 107.49565217391304
43, 652.0734573153437, 99.20976434782614, 219.31304347826088, 36.34782608695652, 108.07826086956521
44, 651.8070378023581, 99.1057086956522, 219.2608695652174, 36.21739130434783, 107.97391304347826
45, 651.5406182893723, 99.30029739130437, 220.9391304347826, 35.59130434782609, 108.50434782608696
46, 651.2741987763867, 99.22369304347822, 220.98260869565217, 35.45217391304348, 108.43478260869566
47, 651.007779263401, 98.75435391304349, 221.76521739130436, 34.26086956521739, 108.4
48, 650.7413597504153, 98.78218086956524, 221.9304347826087, 34.21739130434783, 108.43478260869566
49, 650.4749402374296, 99.03020782608696, 223.4, 33.756521739130434, 109.1304347826087
50, 650.2085207244439, 98.18081217391303, 222.57391304347826, 32.89565217391304, 108.27826086956522
51, 649.9421012114582, 98.77467217391307, 223.62608695652173, 33.23478260869565, 108.98260869565217
52, 649.6756816984725, 98.10581826086951, 223.2086956521739, 32.426086956521736, 108.37391304347825
53, 649.4092621854868, 98.46201391304345, 225.42608695652174, 31.652173913043477, 109.66956521739131
