Extraction [ img/s4/seq3/1.jpg ] effectuee 2026-05-28 17:14:03.079767
Calibration: -0.2664195129856975*x + 663.5294963737288 [largueur 2619 + 934]

pixel, longueur d'onde, intensite, r, g, b
0, 663.5294963737288, 84.3830247311828, 171.58064516129033, 43.526881720430104, 66.20430107526882
1, 663.263076860743, 84.85372795698925, 172.8279569892473, 43.516129032258064, 67.11827956989248
2, 662.9966573477574, 85.24436559139788, 173.2258064516129, 43.924731182795696, 67.39784946236558
3, 662.7302378347716, 85.82778709677416, 174.1720430107527, 44.30107526881721, 68.09677419354838
4, 662.463818321786, 86.32580752688173, 174.72043010752688, 44.774193548387096, 68.59139784946237
5, 662.1973988088002, 86.67643870967743, 176.36559139784947, 44.333333333333336, 69.6236559139785
6, 661.9309792958146, 86.6400924731183, 176.38709677419354, 44.26881720430107, 69.58064516129032
7, 661.6645597828289, 87.41891612903225, 178.04301075268816, 44.526881720430104, 70.74193548387096
8, 661.3981402698432, 87.07060752688172, 177.68817204301075, 44.193548387096776, 70.33333333333333
9, 661.1317207568575, 87.48802795698926, 178.752688172043, 44.11827956989247, 71.59139784946237
10, 660.8653012438718, 86.70637419354836, 177.9784946236559, 43.333333333333336, 70.80645161290323
11, 660.5988817308861, 87.46538494623655, 180.1290322580645, 43.24731182795699, 72.26881720430107
12, 660.3324622179003, 87.82650000000001, 180.48387096774192, 43.61290322580645, 72.6236559139785
13, 660.0660427049147, 88.46576666666667, 182.44086021505376, 43.41935483870968, 74.09677419354838
14, 659.799623191929, 88.56988602150533, 182.53763440860214, 43.516129032258064, 74.25806451612904
15, 659.5332036789433, 89.2057376344086, 184.4516129032258, 43.30107526881721, 75.9247311827957
16, 659.2667841659576, 89.62287956989243, 184.86021505376345, 43.70967741935484, 76.40860215053763
17, 659.0003646529719, 89.6904677419355, 185.6451612903226, 43.25806451612903, 77.26881720430107
18, 658.7339451399862, 89.97549247311825, 185.93548387096774, 43.526881720430104, 77.6236559139785
19, 658.4675256270006, 90.86824193548388, 187.68817204301075, 43.88172043010753, 79.03225806451613
20, 658.2011061140148, 90.07265591397855, 187.09677419354838, 42.956989247311824, 78.36559139784946
21, 657.9346866010292, 90.96401397849466, 189.6451612903226, 42.795698924731184, 80.33333333333333
22, 657.6682670880434, 91.25142473118281, 190.05376344086022, 43.0, 80.73118279569893
23, 657.4018475750577, 91.13330322580643, 190.30107526881721, 42.59139784946237, 81.15053763440861
24, 657.135428062072, 91.4451, 190.61290322580646, 42.903225806451616, 81.46236559139786
25, 656.8690085490863, 92.19416989247313, 192.70967741935485, 42.81720430107527, 82.97849462365592
26, 656.6025890361007, 92.27239569892471, 192.81720430107526, 42.86021505376344, 83.16129032258064
27, 656.3361695231149, 92.17247741935483, 193.3978494623656, 42.204301075268816, 84.13978494623656
28, 656.0697500101293, 92.36827526881721, 193.59139784946237, 42.38709677419355, 84.40860215053763
29, 655.8033304971435, 93.21677741935487, 195.55913978494624, 42.55913978494624, 85.80645161290323
30, 655.5369109841579, 93.73512365591398, 196.0752688172043, 43.064516129032256, 86.39784946236558
31, 655.2704914711721, 93.62835053763443, 196.70967741935485, 42.43010752688172, 87.06451612903226
32, 655.0040719581864, 93.05419139784946, 196.1505376344086, 41.8494623655914, 86.48387096774194
33, 654.7376524452008, 93.46407956989248, 197.2688172043011, 41.82795698924731, 87.25806451612904
34, 654.471232932215, 93.4439849462366, 197.247311827957, 41.81720430107527, 87.19354838709677
35, 654.2048134192294, 93.69543010752687, 197.8494623655914, 41.83870967741935, 87.70967741935483
36, 653.9383939062436, 93.65305268817201, 197.86021505376345, 41.75268817204301, 87.75268817204301
37, 653.671974393258, 94.38189139784949, 199.25806451612902, 42.02150537634409, 89.09677419354838
