Extraction [ img/s4/seq3/mys2.jpg ] effectuee 2026-05-28 17:40:59.135518
Calibration: -0.2664195129856975*x + 663.5294963737288 [largueur 2619 + 934]

pixel, longueur d'onde, intensite, r, g, b
0, 663.5294963737288, 99.83207073170729, 193.1951219512195, 55.31707317073171, 84.34146341463415
1, 663.263076860743, 100.5317951219512, 194.4878048780488, 55.51219512195122, 86.08536585365853
2, 662.9966573477574, 100.51621951219512, 194.5121951219512, 55.47560975609756, 86.07317073170732
3, 662.7302378347716, 101.09850121951217, 195.84146341463415, 55.5609756097561, 87.2560975609756
4, 662.463818321786, 101.58928170731707, 196.4512195121951, 55.96341463414634, 87.89024390243902
5, 662.1973988088002, 102.74281219512194, 199.4390243902439, 55.829268292682926, 90.86585365853658
6, 661.9309792958146, 102.37047439024387, 199.15853658536585, 55.3780487804878, 90.65853658536585
7, 661.6645597828289, 102.90315365853657, 200.17073170731706, 55.58536585365854, 91.60975609756098
8, 661.3981402698432, 102.54953048780487, 199.8170731707317, 55.23170731707317, 91.2560975609756
9, 661.1317207568575, 103.29698414634147, 201.6219512195122, 55.28048780487805, 92.82926829268293
10, 660.8653012438718, 102.21589756097563, 200.53658536585365, 54.19512195121951, 91.78048780487805
11, 660.5988817308861, 103.52385731707315, 203.0121951219512, 54.73170731707317, 94.0
12, 660.3324622179003, 103.46288780487806, 202.9512195121951, 54.670731707317074, 93.9390243902439
13, 660.0660427049147, 104.25251585365855, 204.96341463414635, 54.53658536585366, 96.28048780487805
14, 659.799623191929, 103.90437926829267, 204.7439024390244, 54.109756097560975, 96.0
15, 659.5332036789433, 104.74797317073168, 207.09756097560975, 53.926829268292686, 98.17073170731707
16, 659.2667841659576, 104.93101341463417, 207.3048780487805, 54.09756097560975, 98.35365853658537
17, 659.0003646529719, 105.91416951219509, 209.28048780487805, 54.3780487804878, 100.35365853658537
18, 658.7339451399862, 105.69885000000001, 209.0609756097561, 54.15853658536585, 100.17073170731707
19, 658.4675256270006, 105.55951219512197, 209.6341463414634, 53.548780487804876, 100.58536585365853
20, 658.2011061140148, 105.57593292682925, 209.6951219512195, 53.52439024390244, 100.6951219512195
21, 657.9346866010292, 107.06458780487803, 212.41463414634146, 54.26829268292683, 102.79268292682927
22, 657.6682670880434, 106.70168292682929, 212.0731707317073, 53.890243902439025, 102.45121951219512
23, 657.4018475750577, 106.9358841463415, 212.7439024390244, 53.829268292682926, 103.0609756097561
24, 657.135428062072, 107.05782317073174, 212.8658536585366, 53.951219512195124, 103.1829268292683
25, 656.8690085490863, 107.38592804878047, 213.890243902439, 53.76829268292683, 104.3170731707317
26, 656.6025890361007, 107.55782560975611, 214.0609756097561, 53.926829268292686, 104.5609756097561
27, 656.3361695231149, 108.09681463414638, 215.6341463414634, 53.71951219512195, 106.23170731707317
28, 656.0697500101293, 108.15778414634148, 215.6951219512195, 53.78048780487805, 106.29268292682927
29, 655.8033304971435, 109.185, 217.8048780487805, 54.048780487804876, 108.39024390243902
30, 655.5369109841579, 108.96550975609752, 217.58536585365854, 53.829268292682926, 108.17073170731707
31, 655.2704914711721, 110.05271707317075, 219.53658536585365, 54.28048780487805, 110.26829268292683
32, 655.0040719581864, 110.14324146341464, 219.65853658536585, 54.353658536585364, 110.36585365853658
33, 654.7376524452008, 109.5977987804878, 219.8170731707317, 53.25609756097561, 110.8170731707317
34, 654.471232932215, 109.69535, 219.91463414634146, 53.353658536585364, 110.91463414634147
35, 654.2048134192294, 109.99074756097565, 220.5731707317073, 53.426829268292686, 111.40243902439025
36, 653.9383939062436, 110.10550975609756, 220.8780487804878, 53.426829268292686, 111.60975609756098
37, 653.671974393258, 109.78942560975607, 221.71951219512195, 52.34146341463415, 112.21951219512195
38, 653.4055548802722, 109.92983414634149, 222.02439024390245, 52.3780487804878, 112.46341463414635
39, 653.1391353672866, 109.2807975609756, 222.390243902439, 51.109756097560975, 112.34146341463415
40, 652.8727158543008, 109.40856219512195, 222.67073170731706, 51.15853658536585, 112.47560975609755
41, 652.6062963413152, 110.09249024390243, 224.609756097561, 51.0, 114.20731707317073
42, 652.3398768283295, 110.37605243902438, 225.20731707317074, 51.1219512195122, 114.5
43, 652.0734573153437, 110.49919512195122, 226.82926829268294, 50.292682926829265, 115.59756097560975
44, 651.8070378023581, 110.48790487804877, 227.17073170731706, 50.08536585365854, 115.67073170731707
45, 651.5406182893723, 110.78082195121952, 228.97560975609755, 49.40243902439025, 117.02439024390245
46, 651.2741987763867, 110.64436097560979, 229.0731707317073, 49.146341463414636, 116.89024390243902
47, 651.007779263401, 110.61922439024389, 230.9268292682927, 47.951219512195124, 117.96341463414635
48, 650.7413597504153, 110.82783780487807, 231.3780487804878, 48.03658536585366, 118.17073170731707
49, 650.4749402374296, 111.24081707317066, 233.17073170731706, 47.59756097560975, 119.35365853658537
50, 650.2085207244439, 110.98957560975609, 233.14634146341464, 47.23170731707317, 119.09756097560975
51, 649.9421012114582, 111.17388048780495, 234.3658536585366, 46.853658536585364, 119.46341463414635
52, 649.6756816984725, 110.82275731707321, 234.2560975609756, 46.36585365853659, 119.1829268292683
53, 649.4092621854868, 111.30993536585369, 236.5, 45.792682926829265, 120.52439024390245
54, 649.142842672501, 110.9087024390244, 236.390243902439, 45.21951219512195, 120.2439024390244
55, 648.8764231595154, 110.08408658536582, 236.4512195121951, 43.890243902439025, 119.6951219512195
56, 648.6100036465297, 110.26725975609754, 236.79268292682926, 44.0, 119.84146341463415
57, 648.343584133544, 110.41234999999999, 238.08536585365854, 43.46341463414634, 120.48780487804878
58, 648.0771646205583, 110.29550487804876, 238.2439024390244, 43.207317073170735, 120.36585365853658
59, 647.8107451075726, 110.98680731707314, 240.46341463414635, 43.048780487804876, 121.42682926829268
60, 647.5443255945869, 111.04704634146337, 240.7560975609756, 43.0, 121.4390243902439
61, 647.2779060816013, 110.50384999999997, 241.5, 41.71951219512195, 121.3170731707317
62, 647.0114865686155, 110.20197317073172, 241.4878048780488, 41.26829268292683, 121.02439024390245
63, 646.7450670556299, 111.190856097561, 244.2439024390244, 41.329268292682926, 122.15853658536585
64, 646.4786475426441, 110.932193902439, 244.28048780487805, 40.926829268292686, 121.86585365853658
65, 646.2122280296584, 111.58047073170735, 246.14634146341464, 40.9390243902439, 122.59756097560975
66, 645.9458085166727, 112.29354146341457, 246.90243902439025, 41.6219512195122, 123.35365853658537
67, 645.679389003687, 112.50634756097561, 247.9878048780488, 41.353658536585364, 123.7560975609756
68, 645.4129694907014, 111.9598243902439, 247.73170731707316, 40.69512195121951, 123.02439024390245
69, 645.1465499777156, 112.01807682926835, 248.9878048780488, 40.109756097560975, 123.2560975609756
70, 644.88013046473, 111.78938414634146, 249.08536585365854, 39.74390243902439, 122.8780487804878
71, 644.6137109517442, 112.16240365853663, 249.7439024390244, 40.048780487804876, 122.85365853658537
72, 644.3472914387586, 111.97823902439026, 249.8048780487805, 39.75609756097561, 122.58536585365853
73, 644.0808719257728, 112.58298414634152, 251.2560975609756, 40.0, 122.82926829268293
74, 643.8144524127872, 112.73647073170734, 251.5121951219512, 40.109756097560975, 122.9390243902439
75, 643.5480328998015, 113.14538292682926, 252.5121951219512, 40.36585365853659, 122.58536585365853
76, 643.2816133868157, 113.32120975609756, 252.78048780487805, 40.51219512195122, 122.67073170731707
77, 643.0151938738301, 113.16294756097562, 253.5731707317073, 40.0, 121.84146341463415
78, 642.7487743608443, 113.0859536585366, 253.6341463414634, 39.8780487804878, 121.63414634146342
79, 642.4823548478587, 112.7712329268293, 253.76829268292684, 39.451219512195124, 120.71951219512195
80, 642.2159353348729, 112.4915853658537, 253.78048780487805, 39.0609756097561, 120.2439024390244
81, 641.9495158218873, 112.71442560975616, 254.28048780487805, 39.207317073170735, 120.13414634146342
82, 641.6830963089016, 112.63451829268296, 254.20731707317074, 39.146341463414636, 119.9390243902439
83, 641.4166767959159, 112.75589878048785, 254.5487804878049, 39.21951219512195, 119.73170731707317
84, 641.1502572829302, 112.84247926829275, 254.59756097560975, 39.36585365853659, 119.60975609756098
85, 640.8838377699444, 113.01124634146345, 254.609756097561, 39.75609756097561, 119.04878048780488
86, 640.6174182569588, 112.80194756097559, 254.79268292682926, 39.4390243902439, 118.36585365853658
87, 640.350998743973, 112.81872560975609, 254.6951219512195, 39.52439024390244, 118.32926829268293
88, 640.0845792309874, 112.99667317073173, 254.73170731707316, 39.78048780487805, 118.47560975609755
89, 639.8181597180017, 112.90767926829274, 254.91463414634146, 39.670731707317074, 117.78048780487805
90, 639.551740205016, 112.87322073170735, 254.8658536585366, 39.646341463414636, 117.73170731707317
91, 639.2853206920303, 112.94079268292681, 254.8780487804878, 39.890243902439025, 117.03658536585365
92, 639.0189011790446, 112.7647256097561, 254.8170731707317, 39.68292682926829, 116.71951219512195
93, 638.7524816660589, 113.76535975609758, 254.9390243902439, 41.28048780487805, 116.95121951219512
94, 638.4860621530732, 113.57379390243904, 254.9878048780488, 41.01219512195122, 116.52439024390245
95, 638.2196426400875, 113.86341097560977, 254.91463414634146, 41.670731707317074, 115.86585365853658
96, 637.9532231271018, 114.16429146341464, 254.890243902439, 42.13414634146341, 116.1829268292683
97, 637.6868036141161, 114.1338987804878, 254.91463414634146, 42.207317073170735, 115.47560975609755
98, 637.4203841011304, 114.26611341463409, 254.84146341463415, 42.4390243902439, 115.63414634146342
99, 637.1539645881447, 114.96115, 254.96341463414635, 43.5609756097561, 115.63414634146342
100, 636.887545075159, 115.08038292682926, 254.9512195121951, 43.75609756097561, 115.70731707317073
101, 636.6211255621733, 115.38685000000004, 254.91463414634146, 44.353658536585364, 115.41463414634147
102, 636.3547060491876, 115.34842926829273, 254.97560975609755, 44.292682926829265, 115.23170731707317
103, 636.088286536202, 115.68568902439031, 254.9390243902439, 44.90243902439025, 115.14634146341463
104, 635.8218670232162, 115.71360975609758, 254.8780487804878, 45.0, 115.04878048780488
105, 635.5554475102306, 116.41811463414628, 254.9512195121951, 46.146341463414636, 115.13414634146342
106, 635.2890279972448, 116.37179999999998, 254.8048780487805, 46.15853658536585, 115.04878048780488
107, 635.0226084842591, 117.06819146341458, 254.91463414634146, 47.329268292682926, 114.84146341463415
108, 634.7561889712734, 116.88331219512195, 254.8048780487805, 47.13414634146341, 114.51219512195122
109, 634.4897694582877, 117.58571463414627, 254.9268292682927, 48.28048780487805, 114.45121951219512
110, 634.2233499453021, 117.30991829268288, 254.84146341463415, 47.951219512195124, 113.95121951219512
111, 633.9569304323163, 117.83407560975606, 254.97560975609755, 48.86585365853659, 113.48780487804878
112, 633.6905109193307, 117.81513780487805, 254.96341463414635, 48.86585365853659, 113.35365853658537
113, 633.4240914063449, 118.93650487804865, 254.9512195121951, 50.68292682926829, 113.86585365853658
114, 633.1576718933593, 119.13160487804869, 254.9268292682927, 50.97560975609756, 114.13414634146342
115, 632.8912523803735, 119.97649390243899, 254.9390243902439, 52.292682926829265, 114.73170731707317
116, 632.6248328673878, 120.1207365853659, 254.9512195121951, 52.548780487804876, 114.64634146341463
117, 632.3584133544022, 120.54304512195118, 254.91463414634146, 53.5, 113.54878048780488
118, 632.0919938414164, 120.99882073170727, 254.96341463414635, 54.18292682926829, 113.90243902439025
119, 631.8255743284308, 121.83713780487807, 254.96341463414635, 55.573170731707314, 114.09756097560975
120, 631.559154815445, 122.16458536585365, 255.0, 56.03658536585366, 114.48780487804878
121, 631.2927353024594, 122.73139390243907, 254.96341463414635, 57.146341463414636, 113.84146341463415
122, 631.0263157894736, 122.88253170731703, 254.9268292682927, 57.4390243902439, 113.7560975609756
