Extraction [ img/dil.png ] effectuee 2026-03-26 17:09:50.835575
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 13.303810000000002, 24.4, 8.55, 8.7
1, 674.6963999999999, 13.496165, 24.85, 8.6, 8.95
2, 674.0928, 13.689379999999996, 26.2, 8.3, 8.65
3, 673.4892, 14.365659999999997, 26.9, 8.95, 9.4
4, 672.8856, 14.386544999999998, 28.05, 8.4, 9.4
5, 672.2819999999999, 13.85748, 28.2, 7.5, 9.0
6, 671.6784, 13.74964, 28.6, 7.2, 8.55
7, 671.0748, 14.446119999999999, 30.3, 7.55, 8.4
8, 670.4712, 14.489024999999998, 30.25, 7.6, 8.65
9, 669.8675999999999, 15.789445, 32.55, 8.45, 9.65
10, 669.264, 16.0234, 33.0, 8.6, 9.75
11, 668.6604, 15.562590000000004, 33.1, 7.9, 9.05
12, 668.0568, 15.191219999999998, 33.3, 7.35, 8.1
13, 667.4531999999999, 15.318095, 33.55, 7.4, 8.3
14, 666.8496, 16.130194999999997, 35.55, 7.6, 9.15
15, 666.246, 15.568000000000001, 35.0, 7.0, 8.75
16, 665.6424, 15.676704999999998, 35.95, 6.75, 8.5
17, 665.0387999999999, 16.50706, 37.4, 7.3, 9.15
18, 664.4352, 17.298275000000004, 38.25, 8.05, 10.0
19, 663.8316, 16.779850000000003, 39.0, 6.95, 9.15
20, 663.228, 17.394195000000003, 39.55, 7.6, 9.75
21, 662.6243999999999, 17.07466, 39.4, 7.2, 9.4
22, 662.0208, 17.468385, 40.15, 7.45, 9.6
23, 661.4172, 17.972419999999993, 40.8, 7.9, 10.0
24, 660.8136, 16.980385, 40.65, 6.5, 8.9
25, 660.2099999999999, 17.911804999999998, 41.95, 7.25, 9.8
26, 659.6064, 17.22791, 42.4, 6.05, 8.8
27, 659.0028, 17.727015, 43.35, 6.3, 9.4
28, 658.3992, 18.433420000000005, 44.8, 6.6, 10.25
29, 657.7955999999999, 18.34969, 45.6, 6.05, 10.25
30, 657.192, 18.876835000000003, 46.15, 6.6, 10.6
31, 656.5884, 19.71212, 47.3, 7.35, 11.05
32, 655.9848, 19.326029999999996, 47.2, 6.85, 10.5
33, 655.3811999999999, 19.129829999999995, 47.7, 6.3, 10.3
34, 654.7776, 18.942024999999997, 48.25, 5.7, 10.3
35, 654.174, 18.61379, 48.6, 5.05, 9.85
36, 653.5704, 19.568554999999996, 50.45, 5.55, 10.8
37, 652.9667999999999, 19.124535, 50.65, 4.75, 10.5
38, 652.3632, 19.373985, 52.15, 4.45, 10.3
39, 651.7596, 19.791055000000007, 53.45, 4.45, 10.55
40, 651.156, 20.162749999999996, 54.5, 4.5, 10.8
41, 650.5523999999999, 21.14587, 56.3, 5.2, 11.1
42, 649.9488, 19.791619999999995, 55.8, 3.4, 9.8
43, 649.3452, 21.20644, 58.6, 4.2, 10.75
44, 648.7416, 21.627055000000002, 59.95, 4.2, 10.9
45, 648.1379999999999, 21.275714999999998, 60.85, 3.25, 10.35
46, 647.5344, 22.309909999999995, 62.9, 3.9, 10.7
47, 646.9308, 21.72107, 63.3, 2.8, 10.15
48, 646.3272, 22.344134999999998, 65.15, 2.9, 10.25
49, 645.7235999999999, 22.817525000000003, 66.75, 2.95, 9.95
50, 645.12, 23.493900000000004, 68.5, 3.25, 9.75
51, 644.5164, 23.832559999999997, 69.9, 3.25, 9.05
52, 643.9128, 22.864575, 70.25, 1.85, 6.85
53, 643.3091999999999, 23.945764999999998, 72.85, 2.3, 7.2
54, 642.7056, 24.640235, 74.65, 2.45, 7.8
55, 642.102, 25.037204999999997, 76.45, 2.2, 7.85
56, 641.4984, 25.273019999999995, 78.3, 1.65, 7.9
57, 640.8947999999999, 25.910720000000005, 80.3, 1.65, 8.25
58, 640.2912, 26.689785, 82.65, 1.8, 8.15
59, 639.6876, 26.771840000000005, 84.1, 1.25, 7.9
60, 639.084, 26.865914999999994, 85.35, 0.9, 7.25
61, 638.4803999999999, 27.577029999999997, 87.2, 1.15, 7.35
62, 637.8768, 28.477269999999997, 89.8, 1.35, 7.4
63, 637.2732, 29.06098, 92.2, 1.2, 7.0
64, 636.6696, 29.304899999999996, 94.0, 1.0, 5.45
65, 636.0659999999999, 30.324925, 96.75, 1.25, 5.9
66, 635.4624, 30.691469999999992, 98.8, 0.85, 5.8
67, 634.8588, 30.90102, 100.3, 0.55, 5.25
68, 634.2552, 31.658590000000004, 102.6, 0.65, 5.35
69, 633.6515999999999, 32.431645, 105.05, 0.7, 5.45
70, 633.048, 32.928465, 107.35, 0.55, 4.55
71, 632.4444, 33.78502999999999, 109.7, 0.9, 4.1
72, 631.8408, 34.384755, 111.45, 1.05, 4.0
73, 631.2371999999999, 34.751070000000006, 113.3, 0.8, 3.65
74, 630.6336, 35.707315, 115.85, 1.15, 3.55
75, 630.03, 36.367819999999995, 118.3, 0.95, 3.95
