Extraction [ img/blanc.png ] effectuee 2026-03-26 16:50:49.916089
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 15.415325, 27.75, 10.15, 10.2
1, 674.6963999999999, 15.377510000000001, 28.9, 9.5, 10.2
2, 674.0928, 15.963045000000005, 29.55, 10.05, 10.8
3, 673.4892, 16.68748, 30.7, 10.65, 11.05
4, 672.8856, 16.660604999999997, 31.45, 10.3, 10.65
5, 672.2819999999999, 16.34215, 31.5, 9.8, 10.3
6, 671.6784, 16.66871, 33.4, 9.35, 10.5
7, 671.0748, 17.517240000000005, 34.6, 10.0, 11.45
8, 670.4712, 18.211714999999998, 36.85, 9.95, 11.9
9, 669.8675999999999, 18.46848, 38.2, 9.7, 11.9
10, 669.264, 18.695349999999998, 39.0, 9.65, 12.05
11, 668.6604, 19.079765000000002, 41.35, 9.05, 12.35
12, 668.0568, 19.625319999999995, 42.3, 9.35, 13.1
13, 667.4531999999999, 20.520625000000003, 44.75, 9.55, 13.5
14, 666.8496, 20.622785, 46.15, 9.05, 13.3
15, 666.246, 20.461639999999996, 47.1, 8.35, 13.0
16, 665.6424, 21.828699999999998, 49.5, 9.35, 13.55
17, 665.0387999999999, 22.725539999999995, 52.1, 9.35, 14.6
18, 664.4352, 22.028010000000002, 52.9, 7.9, 13.85
19, 663.8316, 22.137484999999995, 54.15, 7.45, 13.85
20, 663.228, 23.01075, 56.0, 7.85, 14.6
21, 662.6243999999999, 23.42774, 57.6, 7.6, 15.35
22, 662.0208, 22.356595, 58.05, 5.75, 14.3
23, 661.4172, 24.107290000000003, 61.6, 6.75, 15.2
24, 660.8136, 24.461584999999996, 63.65, 6.3, 15.25
25, 660.2099999999999, 24.53655, 65.0, 5.75, 15.2
26, 659.6064, 25.073715, 66.35, 5.9, 15.6
27, 659.0028, 24.798405, 67.45, 4.9, 15.45
28, 658.3992, 25.919895000000004, 70.55, 5.3, 15.1
29, 657.7955999999999, 26.696945, 72.55, 5.45, 15.9
30, 657.192, 26.688485000000004, 74.15, 4.65, 15.75
31, 656.5884, 26.524879999999996, 75.7, 3.65, 15.4
32, 655.9848, 27.754579999999997, 78.2, 4.2, 16.8
33, 655.3811999999999, 28.163574999999998, 80.25, 3.95, 16.3
34, 654.7776, 28.082545, 81.55, 3.15, 16.3
35, 654.174, 28.50802, 83.8, 2.7, 16.45
36, 653.5704, 29.181314999999994, 86.35, 2.5, 16.7
37, 652.9667999999999, 29.49701, 87.9, 2.2, 16.95
38, 652.3632, 29.470150000000007, 90.0, 1.25, 16.1
39, 651.7596, 29.890149999999995, 92.0, 0.85, 16.6
40, 651.156, 30.686229999999995, 94.2, 0.95, 17.3
41, 650.5523999999999, 31.46790500000001, 96.45, 1.0, 18.0
42, 649.9488, 31.996680000000005, 98.2, 1.0, 18.05
43, 649.3452, 32.61413, 100.2, 1.15, 17.45
44, 648.7416, 32.91465, 101.5, 1.0, 17.45
45, 648.1379999999999, 33.720054999999995, 103.45, 1.35, 17.6
46, 647.5344, 34.392575, 105.25, 1.55, 17.75
47, 646.9308, 34.4442, 106.5, 1.05, 17.5
48, 646.3272, 34.866755, 108.95, 0.6, 17.1
49, 645.7235999999999, 35.91258000000001, 111.2, 1.1, 17.8
