Extraction [ img/calibdujour.png ] effectuee 2026-03-26 16:02:59.522872
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 0.0, 0.0, 0.0, 0.0
1, 674.6963999999999, 0.0, 0.0, 0.0, 0.0
2, 674.0928, 0.0, 0.0, 0.0, 0.0
3, 673.4892, 0.0, 0.0, 0.0, 0.0
4, 672.8856, 0.0, 0.0, 0.0, 0.0
5, 672.2819999999999, 0.0, 0.0, 0.0, 0.0
6, 671.6784, 0.0, 0.0, 0.0, 0.0
7, 671.0748, 0.0, 0.0, 0.0, 0.0
8, 670.4712, 0.0, 0.0, 0.0, 0.0
9, 669.8675999999999, 0.0, 0.0, 0.0, 0.0
10, 669.264, 0.0, 0.0, 0.0, 0.0
11, 668.6604, 0.0, 0.0, 0.0, 0.0
12, 668.0568, 0.0, 0.0, 0.0, 0.0
13, 667.4531999999999, 0.0, 0.0, 0.0, 0.0
14, 666.8496, 0.0, 0.0, 0.0, 0.0
15, 666.246, 0.0, 0.0, 0.0, 0.0
16, 665.6424, 0.0, 0.0, 0.0, 0.0
17, 665.0387999999999, 0.0, 0.0, 0.0, 0.0
18, 664.4352, 0.0, 0.0, 0.0, 0.0
19, 663.8316, 0.0, 0.0, 0.0, 0.0
20, 663.228, 0.0, 0.0, 0.0, 0.0
21, 662.6243999999999, 0.0, 0.0, 0.0, 0.0
22, 662.0208, 0.0, 0.0, 0.0, 0.0
23, 661.4172, 0.0, 0.0, 0.0, 0.0
24, 660.8136, 0.0, 0.0, 0.0, 0.0
25, 660.2099999999999, 0.0, 0.0, 0.0, 0.0
26, 659.6064, 1.203675, 3.25, 0.25, 0.75
27, 659.0028, 1.097445, 3.05, 0.2, 0.6
28, 658.3992, 1.180875, 3.25, 0.25, 0.55
29, 657.7955999999999, 2.11285, 6.0, 0.35, 1.0
30, 657.192, 7.3545050000000005, 21.95, 0.75, 3.1
31, 656.5884, 13.78126, 40.9, 1.35, 6.7
32, 655.9848, 20.484315, 58.35, 3.0, 11.25
33, 655.3811999999999, 23.613554999999998, 66.45, 3.75, 13.6
34, 654.7776, 22.932894999999995, 67.05, 2.45, 12.75
35, 654.174, 23.369224999999997, 68.75, 2.25, 13.15
36, 653.5704, 23.596864999999998, 69.85, 2.0, 13.55
37, 652.9667999999999, 24.195425, 71.25, 2.2, 14.1
