Extraction [ img/mere.png ] effectuee 2026-03-26 16:50:02.451782
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 6.697179999999999, 3.7, 7.35, 11.2
1, 674.6963999999999, 6.47293, 3.7, 6.9, 11.55
2, 674.0928, 6.925890000000001, 4.1, 7.4, 11.9
3, 673.4892, 6.83245, 4.0, 7.35, 11.6
4, 672.8856, 6.75611, 3.9, 7.3, 11.45
5, 672.2819999999999, 6.894465000000001, 3.85, 7.6, 11.25
6, 671.6784, 7.288184999999999, 4.15, 8.05, 11.6
7, 671.0748, 7.1990549999999995, 3.95, 8.0, 11.6
8, 670.4712, 6.869195000000002, 3.55, 7.7, 11.3
9, 669.8675999999999, 6.704804999999999, 3.45, 7.5, 11.15
10, 669.264, 6.733304999999999, 3.45, 7.5, 11.4
11, 668.6604, 7.277550000000001, 4.0, 8.05, 11.9
12, 668.0568, 7.520975, 4.25, 8.25, 12.35
13, 667.4531999999999, 7.13596, 3.9, 7.85, 11.95
14, 666.8496, 6.83599, 3.6, 7.55, 11.65
15, 666.246, 6.309695, 3.05, 7.05, 11.05
16, 665.6424, 6.265939999999999, 3.1, 6.95, 11.05
17, 665.0387999999999, 8.01985, 5.0, 8.65, 12.7
18, 664.4352, 7.034894999999999, 4.05, 7.65, 11.7
19, 663.8316, 6.68462, 3.8, 7.2, 11.6
20, 663.228, 6.9017, 4.0, 7.4, 11.95
21, 662.6243999999999, 6.73107, 3.8, 7.25, 11.75
22, 662.0208, 6.9074, 4.0, 7.4, 12.0
23, 661.4172, 7.112, 4.0, 7.7, 12.25
24, 660.8136, 6.591714999999999, 3.35, 7.3, 11.45
25, 660.2099999999999, 7.841050000000001, 4.5, 8.6, 12.7
26, 659.6064, 6.3100000000000005, 2.5, 7.35, 10.95
27, 659.0028, 6.471385000000001, 2.65, 7.5, 11.2
28, 658.3992, 7.35065, 3.5, 8.4, 12.05
29, 657.7955999999999, 7.141425, 3.25, 8.2, 11.9
30, 657.192, 6.700715000000001, 2.85, 7.75, 11.4
31, 656.5884, 7.22701, 3.4, 8.25, 12.0
32, 655.9848, 6.756410000000001, 2.9, 7.8, 11.5
33, 655.3811999999999, 6.977575, 3.25, 7.95, 11.75
34, 654.7776, 7.852754999999999, 3.95, 8.9, 12.7
