Extraction [ img/mere.png ] effectuee 2026-03-26 16:28:19.207338
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 52.17251500000001, 70.1, 45.475, 39.7
1, 674.6963999999999, 53.0637225, 71.275, 46.225, 40.575
2, 674.0928, 52.950954999999986, 72.2, 45.625, 40.25
3, 673.4892, 53.710785, 73.65, 46.05, 40.925
4, 672.8856, 54.27353249999999, 75.425, 46.1, 40.95
5, 672.2819999999999, 55.02566999999999, 77.55, 46.275, 41.075
6, 671.6784, 55.749647499999995, 79.525, 46.425, 41.475
7, 671.0748, 56.161829999999995, 81.2, 46.25, 41.6
8, 670.4712, 56.0732125, 82.375, 45.525, 41.475
9, 669.8675999999999, 56.62579749999999, 84.525, 45.425, 41.2
10, 669.264, 57.311877499999994, 86.725, 45.425, 41.45
11, 668.6604, 57.759497499999995, 88.775, 45.1, 41.675
12, 668.0568, 58.046432499999995, 91.175, 44.425, 41.375
13, 667.4531999999999, 59.972945, 94.55, 45.6, 43.375
14, 666.8496, 60.64558249999999, 96.675, 45.625, 43.575
15, 666.246, 61.34672000000002, 98.8, 45.65, 44.025
16, 665.6424, 62.39628500000001, 101.9, 45.675, 44.975
17, 665.0387999999999, 63.46161000000001, 105.65, 45.425, 45.775
18, 664.4352, 63.947747500000006, 108.275, 44.8, 46.375
19, 663.8316, 64.78094000000002, 111.35, 44.775, 45.75
20, 663.228, 65.416065, 113.85, 44.55, 45.925
21, 662.6243999999999, 65.551355, 115.95, 43.75, 45.725
22, 662.0208, 65.7184625, 118.125, 43.0, 45.35
23, 661.4172, 66.6463125, 120.875, 43.025, 46.15
24, 660.8136, 67.53904499999999, 124.05, 42.9, 46.3
25, 660.2099999999999, 68.26949750000003, 126.775, 42.65, 46.85
26, 659.6064, 68.71384750000001, 129.275, 42.1, 47.025
27, 659.0028, 69.15168749999997, 131.625, 41.625, 47.15
28, 658.3992, 69.74709750000001, 134.025, 41.325, 47.625
29, 657.7955999999999, 70.072055, 137.2, 40.325, 47.3
30, 657.192, 71.30477000000002, 140.55, 40.525, 48.3
31, 656.5884, 72.03645999999998, 143.65, 40.125, 48.65
32, 655.9848, 72.30444249999998, 146.325, 39.2, 48.75
33, 655.3811999999999, 72.64676, 148.65, 38.575, 48.875
34, 654.7776, 72.44122250000001, 151.025, 37.2, 47.925
35, 654.174, 72.62103750000003, 153.375, 36.3, 47.975
36, 653.5704, 73.04509000000002, 156.35, 35.425, 48.4
37, 652.9667999999999, 73.53315999999998, 159.4, 34.65, 48.675
38, 652.3632, 73.89054000000002, 162.1, 33.85, 48.85
39, 651.7596, 74.11037750000001, 165.225, 32.575, 49.15
40, 651.156, 73.93410250000002, 167.225, 31.3, 48.925
41, 650.5523999999999, 74.27572749999999, 169.725, 30.575, 49.1
42, 649.9488, 74.66148999999999, 172.1, 29.95, 49.475
43, 649.3452, 74.68589250000002, 174.575, 28.775, 49.25
44, 648.7416, 74.388415, 177.6, 26.825, 48.75
45, 648.1379999999999, 74.76578750000002, 180.375, 26.05, 48.775
46, 647.5344, 74.66989750000002, 182.775, 24.65, 48.85
47, 646.9308, 74.26090500000001, 184.7, 23.075, 48.325
