Extraction [ img/BLANCs2-2.png ] effectuee 2026-04-16 16:58:08.648659
Calibration: -0.6036*x + 675.3 [Largeur 700]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 0.0, 0.0, 0.0, 0.0
1, 674.6963999999999, 0.0, 0.0, 0.0, 0.0
2, 674.0928, 0.0, 0.0, 0.0, 0.0
3, 673.4892, 0.0, 0.0, 0.0, 0.0
4, 672.8856, 0.0, 0.0, 0.0, 0.0
5, 672.2819999999999, 0.0, 0.0, 0.0, 0.0
6, 671.6784, 0.0, 0.0, 0.0, 0.0
7, 671.0748, 0.0, 0.0, 0.0, 0.0
8, 670.4712, 0.0, 0.0, 0.0, 0.0
9, 669.8675999999999, 0.0, 0.0, 0.0, 0.0
10, 669.264, 0.0, 0.0, 0.0, 0.0
11, 668.6604, 0.0, 0.0, 0.0, 0.0
12, 668.0568, 0.0, 0.0, 0.0, 0.0
13, 667.4531999999999, 0.0, 0.0, 0.0, 0.0
14, 666.8496, 0.0, 0.0, 0.0, 0.0
15, 666.246, 0.0, 0.0, 0.0, 0.0
16, 665.6424, 0.0, 0.0, 0.0, 0.0
17, 665.0387999999999, 0.0, 0.0, 0.0, 0.0
18, 664.4352, 0.0, 0.0, 0.0, 0.0
19, 663.8316, 0.0, 0.0, 0.0, 0.0
20, 663.228, 0.0, 0.0, 0.0, 0.0
21, 662.6243999999999, 0.0, 0.0, 0.0, 0.0
22, 662.0208, 0.0, 0.0, 0.0, 0.0
23, 661.4172, 0.0, 0.0, 0.0, 0.0
24, 660.8136, 0.0, 0.0, 0.0, 0.0
25, 660.2099999999999, 0.0, 0.0, 0.0, 0.0
26, 659.6064, 14.447722999999998, 20.47, 10.82, 17.35
27, 659.0028, 14.615642000000003, 20.68, 10.97, 17.5
28, 658.3992, 14.876224000000002, 21.16, 11.22, 17.24
29, 657.7955999999999, 15.375250000000003, 21.7, 11.7, 17.73
30, 657.192, 15.117066, 21.74, 11.3, 17.42
31, 656.5884, 14.947082999999996, 21.57, 11.13, 17.25
32, 655.9848, 15.119352, 22.28, 11.06, 17.26
33, 655.3811999999999, 15.688324999999997, 22.85, 11.64, 17.77
34, 654.7776, 15.535156999999996, 23.13, 11.32, 17.34
35, 654.174, 15.565001, 23.19, 11.35, 17.29
36, 653.5704, 15.214984000000001, 23.36, 10.84, 16.4
37, 652.9667999999999, 16.118393, 24.27, 11.77, 17.15
