Extraction [ img/blancs2-3.png ] effectuee 2026-04-16 17:29:56.944800
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 35.86796857142856, 89.31428571428572, 12.442857142857143, 16.385714285714286
1, 674.6963999999999, 36.708568571428586, 90.74285714285715, 13.014285714285714, 17.071428571428573
2, 674.0928, 37.324595714285735, 93.18571428571428, 12.814285714285715, 17.1
3, 673.4892, 37.43623428571429, 93.8, 12.7, 17.057142857142857
4, 672.8856, 38.16756000000001, 95.82857142857142, 12.771428571428572, 17.785714285714285
5, 672.2819999999999, 38.47689142857143, 96.51428571428572, 12.971428571428572, 17.67142857142857
6, 671.6784, 39.18190857142858, 98.77142857142857, 13.128571428571428, 17.12857142857143
7, 671.0748, 39.17800000000002, 99.28571428571429, 12.957142857142857, 16.62857142857143
8, 670.4712, 39.799394285714286, 101.34285714285714, 12.957142857142857, 16.685714285714287
9, 669.8675999999999, 39.986158571428575, 102.27142857142857, 12.885714285714286, 16.257142857142856
10, 669.264, 41.111709999999974, 105.04285714285714, 13.314285714285715, 16.65714285714286
11, 668.6604, 40.90865999999999, 105.68571428571428, 12.771428571428572, 15.985714285714286
12, 668.0568, 41.145590000000006, 107.67142857142858, 12.2, 15.8
13, 667.4531999999999, 41.44262000000002, 108.8, 12.128571428571428, 15.814285714285715
14, 666.8496, 42.45492714285714, 111.44285714285714, 12.371428571428572, 16.514285714285716
15, 666.246, 42.983518571428576, 112.67142857142858, 12.571428571428571, 16.9
16, 665.6424, 43.55629, 115.1, 12.185714285714285, 17.542857142857144
17, 665.0387999999999, 43.57287285714285, 116.27142857142857, 11.628571428571428, 17.485714285714284
18, 664.4352, 44.52982857142857, 119.14285714285714, 11.685714285714285, 18.057142857142857
19, 663.8316, 45.07136285714285, 120.65714285714286, 11.742857142857142, 18.542857142857144
20, 663.228, 44.72679428571431, 122.05714285714286, 10.542857142857143, 18.02857142857143
21, 662.6243999999999, 44.77297571428571, 122.67142857142858, 10.314285714285715, 18.0
22, 662.0208, 45.407267142857144, 124.61428571428571, 10.4, 18.02857142857143
23, 661.4172, 45.07534714285714, 124.81428571428572, 9.871428571428572, 17.314285714285713
24, 660.8136, 46.41227428571428, 127.4, 10.67142857142857, 18.142857142857142
25, 660.2099999999999, 47.53471000000002, 129.04285714285714, 11.6, 18.9
26, 659.6064, 48.76302285714288, 131.9142857142857, 12.1, 19.571428571428573
27, 659.0028, 49.456248571428574, 133.0857142857143, 12.642857142857142, 19.785714285714285
28, 658.3992, 49.68538571428569, 135.14285714285714, 11.985714285714286, 19.785714285714285
29, 657.7955999999999, 50.32648857142856, 136.11428571428573, 12.5, 20.214285714285715
30, 657.192, 50.36545571428569, 137.15714285714284, 12.071428571428571, 20.02857142857143
31, 656.5884, 50.56940142857141, 137.7, 12.128571428571428, 20.1
32, 655.9848, 50.26354857142856, 138.8, 11.2, 19.314285714285713
33, 655.3811999999999, 51.034708571428574, 139.9142857142857, 11.871428571428572, 19.7
34, 654.7776, 51.27722714285714, 141.72857142857143, 11.385714285714286, 19.571428571428573
35, 654.174, 51.21356285714286, 142.0857142857143, 11.228571428571428, 18.885714285714286
36, 653.5704, 52.19699142857144, 144.5142857142857, 11.528571428571428, 19.6
37, 652.9667999999999, 52.77889571428571, 145.32857142857142, 12.185714285714285, 19.185714285714287
38, 652.3632, 53.7527114285714, 147.6, 12.67142857142857, 19.271428571428572
39, 651.7596, 54.357661428571426, 148.67142857142858, 13.228571428571428, 18.9
40, 651.156, 55.02936857142858, 150.6, 13.371428571428572, 19.0
41, 650.5523999999999, 54.88733, 150.84285714285716, 13.2, 18.0
42, 649.9488, 55.18701714285713, 152.82857142857142, 12.871428571428572, 17.114285714285714
43, 649.3452, 55.616392857142856, 153.78571428571428, 13.157142857142857, 16.9
44, 648.7416, 56.61397857142858, 155.92857142857142, 13.757142857142858, 16.942857142857143
45, 648.1379999999999, 56.95617, 156.44285714285715, 14.114285714285714, 16.757142857142856
46, 647.5344, 57.629308571428595, 158.2, 14.385714285714286, 16.65714285714286
47, 646.9308, 58.16563, 158.9857142857143, 14.971428571428572, 16.285714285714285
48, 646.3272, 58.90118428571425, 160.44285714285715, 15.471428571428572, 16.34285714285714
49, 645.7235999999999, 59.946215714285714, 161.84285714285716, 16.5, 16.542857142857144
50, 645.12, 60.20379142857144, 163.37142857142857, 16.271428571428572, 15.971428571428572
51, 644.5164, 60.78186428571429, 164.21428571428572, 16.87142857142857, 15.742857142857142
52, 643.9128, 61.5966785714286, 166.07142857142858, 17.3, 15.814285714285715
53, 643.3091999999999, 62.42793142857142, 167.25714285714287, 18.142857142857142, 15.657142857142857
54, 642.7056, 62.60896142857143, 168.52857142857144, 18.02857142857143, 14.5
55, 642.102, 63.2143714285714, 169.42857142857142, 18.65714285714286, 14.214285714285714
56, 641.4984, 63.445838571428574, 170.04285714285714, 18.885714285714286, 13.457142857142857
57, 640.8947999999999, 64.14353142857142, 170.82857142857142, 19.67142857142857, 13.471428571428572
58, 640.2912, 65.16015285714283, 172.61428571428573, 20.485714285714284, 13.514285714285714
59, 639.6876, 65.71478428571429, 173.3, 21.12857142857143, 13.271428571428572
60, 639.084, 66.2911471428572, 174.81428571428572, 21.414285714285715, 12.885714285714286
61, 638.4803999999999, 66.57475714285715, 175.28571428571428, 21.857142857142858, 11.857142857142858
62, 637.8768, 67.16795285714285, 176.47142857142856, 22.3, 11.67142857142857
63, 637.2732, 67.70192285714286, 177.2, 22.985714285714284, 10.914285714285715
64, 636.6696, 68.30236285714287, 178.5142857142857, 23.414285714285715, 10.528571428571428
65, 636.0659999999999, 68.80637714285717, 179.0857142857143, 24.142857142857142, 9.7
66, 635.4624, 69.30614428571427, 180.12857142857143, 24.571428571428573, 9.142857142857142
67, 634.8588, 70.32258571428572, 181.14285714285714, 25.814285714285713, 9.0
68, 634.2552, 70.62551428571429, 181.71428571428572, 26.114285714285714, 8.614285714285714
69, 633.6515999999999, 71.35741285714285, 182.44285714285715, 27.042857142857144, 8.342857142857143
70, 633.048, 72.11143428571432, 183.5142857142857, 27.84285714285714, 8.028571428571428
71, 632.4444, 73.41984999999998, 184.78571428571428, 29.285714285714285, 8.742857142857142
72, 631.8408, 74.0972285714286, 185.42857142857142, 30.142857142857142, 8.585714285714285
73, 631.2371999999999, 75.04968, 186.34285714285716, 31.2, 9.1
74, 630.6336, 76.02784142857142, 187.44285714285715, 32.22857142857143, 9.5
75, 630.03, 76.69989000000002, 188.1, 33.0, 9.7
76, 629.4264, 76.91305857142856, 188.27142857142857, 33.32857142857143, 9.428571428571429
77, 628.8227999999999, 77.42238857142858, 188.68571428571428, 33.97142857142857, 9.5
78, 628.2192, 78.94586142857143, 190.1, 35.68571428571428, 10.32857142857143
79, 627.6156, 79.90566857142856, 191.02857142857144, 36.82857142857143, 10.428571428571429
80, 627.012, 81.04555714285716, 192.14285714285714, 38.114285714285714, 10.885714285714286
81, 626.4083999999999, 81.97453285714285, 192.95714285714286, 39.357142857142854, 10.5
82, 625.8048, 82.81271428571426, 193.57142857142858, 40.5, 10.357142857142858
83, 625.2012, 82.64503285714284, 193.24285714285713, 40.628571428571426, 9.085714285714285
84, 624.5975999999999, 83.2912014285714, 193.84285714285716, 41.457142857142856, 8.914285714285715
85, 623.9939999999999, 83.92749142857143, 194.37142857142857, 42.385714285714286, 8.32857142857143
86, 623.3904, 84.99673428571428, 195.37142857142857, 43.72857142857143, 8.17142857142857
87, 622.7868, 85.59351714285708, 195.82857142857142, 44.642857142857146, 7.5
88, 622.1831999999999, 86.50402, 196.5142857142857, 45.81428571428572, 7.6571428571428575
89, 621.5795999999999, 87.56362142857144, 197.5, 47.128571428571426, 7.6
90, 620.976, 88.6986, 198.0, 48.77142857142857, 7.785714285714286
91, 620.3724, 89.30933571428572, 198.5, 49.65714285714286, 7.271428571428571
92, 619.7687999999999, 90.52363571428572, 199.07142857142858, 51.357142857142854, 7.671428571428572
93, 619.1651999999999, 91.55396428571427, 200.07142857142858, 52.614285714285714, 7.614285714285714
94, 618.5616, 92.31378714285712, 200.4142857142857, 53.72857142857143, 7.642857142857143
95, 617.958, 92.79649142857141, 200.8, 54.457142857142856, 7.114285714285714
96, 617.3543999999999, 93.6505357142857, 201.21428571428572, 55.642857142857146, 7.414285714285715
97, 616.7507999999999, 93.87050857142854, 201.34285714285716, 56.07142857142857, 6.8
98, 616.1472, 95.33232714285711, 202.3, 57.885714285714286, 7.771428571428571
99, 615.5436, 95.98430428571426, 202.81428571428572, 58.74285714285714, 7.728571428571429
100, 614.9399999999999, 97.20907857142856, 203.78571428571428, 60.15714285714286, 8.642857142857142
101, 614.3363999999999, 98.30648428571428, 204.5857142857143, 61.5, 9.257142857142858
102, 613.7328, 99.60600000000002, 205.42857142857142, 63.05714285714286, 10.428571428571429
103, 613.1292, 100.86282571428573, 206.45714285714286, 64.58571428571429, 10.885714285714286
104, 612.5255999999999, 101.51796428571431, 206.35714285714286, 65.7, 11.157142857142857
105, 611.9219999999999, 102.19023714285717, 206.9142857142857, 66.61428571428571, 10.885714285714286
106, 611.3184, 102.73319571428571, 207.04285714285714, 67.45714285714286, 10.971428571428572
107, 610.7148, 103.20795714285713, 207.28571428571428, 68.31428571428572, 10.085714285714285
108, 610.1111999999999, 104.42672285714283, 207.9142857142857, 69.94285714285714, 10.742857142857142
109, 609.5075999999999, 105.40902714285717, 208.72857142857143, 71.25714285714285, 10.457142857142857
110, 608.904, 106.28136714285718, 209.32857142857142, 72.45714285714286, 10.357142857142858
111, 608.3004, 106.72423714285716, 209.4857142857143, 73.32857142857142, 9.342857142857143
112, 607.6967999999999, 108.23822714285716, 210.15714285714284, 75.57142857142857, 9.314285714285715
113, 607.0931999999999, 109.18232714285712, 210.87142857142857, 76.97142857142858, 8.514285714285714
114, 606.4896, 109.91568, 210.77142857142857, 78.47142857142858, 7.485714285714286
115, 605.886, 111.08372714285716, 211.72857142857143, 80.05714285714286, 7.057142857142857
116, 605.2823999999999, 111.84241142857141, 211.88571428571427, 81.4, 6.385714285714286
117, 604.6787999999999, 112.63065714285716, 212.42857142857142, 82.58571428571429, 5.771428571428571
118, 604.0752, 113.4330042857143, 212.52857142857144, 83.95714285714286, 5.485714285714286
119, 603.4716, 114.13860000000001, 213.0, 84.98571428571428, 5.142857142857143
120, 602.8679999999999, 114.96594999999994, 213.64285714285714, 86.04285714285714, 5.271428571428571
121, 602.2643999999999, 115.58621285714284, 214.0142857142857, 86.97142857142858, 4.957142857142857
122, 601.6608, 116.54685285714285, 214.18571428571428, 88.54285714285714, 4.8428571428571425
123, 601.0572, 118.01451142857137, 215.17142857142858, 90.48571428571428, 5.128571428571429
124, 600.4535999999999, 119.42372857142857, 216.0, 92.32857142857142, 5.828571428571428
125, 599.8499999999999, 120.10166000000004, 216.25714285714287, 93.48571428571428, 5.142857142857143
126, 599.2464, 120.91289428571427, 216.2, 94.88571428571429, 5.2
127, 598.6428, 121.72437714285711, 216.65714285714284, 96.07142857142857, 5.014285714285714
128, 598.0391999999999, 122.11192999999997, 216.4142857142857, 96.98571428571428, 4.3428571428571425
129, 597.4355999999999, 123.05721285714283, 217.0142857142857, 98.35714285714286, 4.0
130, 596.832, 123.88526999999998, 217.3, 99.7, 3.6
131, 596.2284, 124.54486857142857, 217.74285714285713, 100.72857142857143, 2.9285714285714284
132, 595.6247999999999, 124.81552714285715, 217.72857142857143, 101.28571428571429, 2.4714285714285715
133, 595.0211999999999, 125.72517571428574, 218.24285714285713, 102.64285714285714, 2.1142857142857143
134, 594.4176, 126.44565142857144, 218.4857142857143, 103.87142857142857, 1.4714285714285715
135, 593.814, 127.66052714285713, 219.15714285714284, 105.57142857142857, 1.6142857142857143
136, 593.2103999999999, 128.30404714285717, 219.1, 106.68571428571428, 1.6714285714285715
137, 592.6067999999999, 129.07795857142855, 219.4142857142857, 107.88571428571429, 1.457142857142857
138, 592.0032, 130.9105785714286, 220.35714285714286, 110.4, 2.1142857142857143
139, 591.3996, 131.98498571428573, 220.85714285714286, 111.92857142857143, 2.357142857142857
140, 590.7959999999999, 132.38083714285713, 220.77142857142857, 112.77142857142857, 1.7142857142857142
141, 590.1923999999999, 133.08345714285704, 221.0, 113.87142857142857, 1.6142857142857143
142, 589.5888, 133.62093857142852, 221.18571428571428, 114.72857142857143, 1.4285714285714286
143, 588.9852, 134.76458857142853, 221.82857142857142, 116.28571428571429, 1.7571428571428571
144, 588.3815999999999, 135.5983442857143, 222.27142857142857, 117.5, 1.6571428571428573
145, 587.7779999999999, 136.16426285714286, 222.37142857142857, 118.47142857142858, 1.3571428571428572
146, 587.1744, 136.83269857142852, 222.44285714285715, 119.55714285714286, 1.4428571428571428
147, 586.5708, 137.62210285714283, 222.82857142857142, 120.7, 1.4714285714285715
148, 585.9671999999999, 138.33004428571428, 222.84285714285716, 121.85714285714286, 1.6857142857142857
149, 585.3635999999999, 138.6475814285715, 222.75714285714287, 122.5, 1.3857142857142857
150, 584.76, 139.28399714285706, 222.88571428571427, 123.57142857142857, 1.1142857142857143
151, 584.1564, 140.01190571428572, 223.22857142857143, 124.62857142857143, 1.1571428571428573
152, 583.5527999999999, 140.72707285714284, 223.84285714285716, 125.52857142857142, 1.1857142857142857
153, 582.9491999999999, 141.65830857142853, 224.4857142857143, 126.75714285714285, 1.3428571428571427
154, 582.3456, 142.14910714285713, 224.78571428571428, 127.45714285714286, 1.2571428571428571
155, 581.742, 142.75521428571426, 225.0, 128.4, 1.1571428571428573
156, 581.1383999999999, 143.43652142857144, 224.78571428571428, 129.61428571428573, 1.4428571428571428
157, 580.5347999999999, 143.66568857142857, 224.68571428571428, 130.1, 1.2142857142857142
158, 579.9312, 144.4537057142857, 224.94285714285715, 131.31428571428572, 1.2
159, 579.3276, 145.07771142857146, 225.31428571428572, 132.27142857142857, 0.7714285714285715
160, 578.7239999999999, 146.19012428571423, 225.61428571428573, 133.9, 1.3571428571428572
161, 578.1203999999999, 146.67313285714295, 225.67142857142858, 134.77142857142857, 0.9571428571428572
162, 577.5168, 147.55862857142867, 226.0, 136.05714285714285, 1.2428571428571429
163, 576.9132, 148.72743714285716, 226.77142857142857, 137.6, 1.5285714285714285
164, 576.3095999999999, 148.94467428571426, 226.4, 138.22857142857143, 1.1714285714285715
165, 575.7059999999999, 149.92575999999997, 226.82857142857142, 139.64285714285714, 1.3714285714285714
166, 575.1024, 150.2180714285714, 226.42857142857142, 140.4, 1.0857142857142856
167, 574.4988, 150.49988142857143, 225.9, 141.17142857142858, 0.9714285714285714
168, 573.8951999999999, 151.04715714285712, 226.57142857142858, 141.72857142857143, 1.1428571428571428
169, 573.2915999999999, 151.46705857142857, 226.55714285714285, 142.44285714285715, 1.1857142857142857
170, 572.688, 152.25503, 226.9857142857143, 143.5142857142857, 1.457142857142857
171, 572.0844, 152.71904000000004, 227.02857142857144, 144.28571428571428, 1.4428571428571428
172, 571.4807999999999, 153.2116185714285, 227.1, 145.0857142857143, 1.457142857142857
173, 570.8771999999999, 153.72602999999995, 226.9857142857143, 146.02857142857144, 1.4142857142857144
174, 570.2736, 154.41418571428576, 227.0, 147.17142857142858, 1.5285714285714285
175, 569.67, 155.15578285714284, 227.02857142857144, 148.42857142857142, 1.4857142857142858
