Extraction [ img/SOLs2-4.png ] effectuee 2026-04-16 17:47:14.136740
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 70.25565333333336, 119.13333333333334, 47.4, 59.85
1, 674.6963999999999, 71.05539500000003, 120.05, 48.15, 60.6
2, 674.0928, 71.32037166666667, 121.11666666666666, 48.0, 60.9
3, 673.4892, 71.46989666666668, 121.53333333333333, 48.016666666666666, 61.03333333333333
4, 672.8856, 71.28309666666668, 122.36666666666666, 47.3, 60.9
5, 672.2819999999999, 71.90134833333332, 123.18333333333334, 47.85, 61.35
6, 671.6784, 72.68374166666663, 124.75, 48.333333333333336, 61.61666666666667
7, 671.0748, 73.7297633333333, 126.03333333333333, 49.3, 62.45
8, 670.4712, 74.53177499999998, 127.91666666666667, 49.61666666666667, 62.916666666666664
9, 669.8675999999999, 75.24665333333331, 128.96666666666667, 50.18333333333333, 63.516666666666666
10, 669.264, 75.66942833333334, 130.71666666666667, 49.983333333333334, 63.666666666666664
11, 668.6604, 75.80157000000003, 131.13333333333333, 49.983333333333334, 63.733333333333334
12, 668.0568, 76.14377, 132.8, 49.75, 63.56666666666667
13, 667.4531999999999, 76.49889833333332, 133.35, 50.016666666666666, 63.86666666666667
14, 666.8496, 76.95336333333334, 134.86666666666667, 50.083333333333336, 63.53333333333333
15, 666.246, 77.41528666666666, 135.46666666666667, 50.5, 63.86666666666667
16, 665.6424, 78.19683333333334, 137.33333333333334, 50.8, 64.28333333333333
17, 665.0387999999999, 78.64979666666666, 138.03333333333333, 51.166666666666664, 64.53333333333333
18, 664.4352, 78.88340833333334, 139.91666666666666, 50.68333333333333, 64.13333333333334
19, 663.8316, 79.46391499999999, 140.68333333333334, 51.233333333333334, 64.38333333333334
20, 663.228, 80.19847333333333, 142.6, 51.46666666666667, 64.6
21, 662.6243999999999, 81.39271166666664, 144.05, 52.63333333333333, 65.26666666666667
22, 662.0208, 81.78542499999996, 145.75, 52.55, 64.68333333333334
23, 661.4172, 82.06101166666667, 146.55, 52.68333333333333, 64.31666666666666
24, 660.8136, 82.20271833333331, 147.81666666666666, 52.38333333333333, 63.78333333333333
25, 660.2099999999999, 82.74769333333333, 148.73333333333332, 52.9, 63.5
26, 659.6064, 83.312835, 150.81666666666666, 52.86666666666667, 63.166666666666664
27, 659.0028, 83.51354666666663, 151.53333333333333, 52.96666666666667, 62.53333333333333
28, 658.3992, 83.62628833333332, 152.61666666666667, 52.733333333333334, 61.88333333333333
29, 657.7955999999999, 83.93523, 153.2, 53.05, 61.43333333333333
30, 657.192, 84.76115499999999, 155.11666666666667, 53.516666666666666, 61.25
31, 656.5884, 85.69419833333335, 156.35, 54.416666666666664, 61.56666666666667
32, 655.9848, 86.52787333333332, 158.1, 54.916666666666664, 61.71666666666667
33, 655.3811999999999, 86.88370333333336, 158.96666666666667, 55.13333333333333, 61.45
34, 654.7776, 87.52708500000001, 161.15, 55.15, 61.28333333333333
35, 654.174, 87.73590833333334, 161.91666666666666, 55.18333333333333, 60.93333333333333
36, 653.5704, 88.06850333333335, 163.46666666666667, 54.983333333333334, 60.81666666666667
37, 652.9667999999999, 88.52447499999995, 164.41666666666666, 55.266666666666666, 60.86666666666667
38, 652.3632, 89.16532833333329, 166.05, 55.416666666666664, 61.43333333333333
39, 651.7596, 89.90786333333335, 167.03333333333333, 56.1, 61.85
40, 651.156, 90.57039333333334, 168.9, 56.21666666666667, 62.166666666666664
41, 650.5523999999999, 90.61654166666669, 169.08333333333334, 56.266666666666666, 61.833333333333336
42, 649.9488, 90.92286833333331, 170.65, 56.016666666666666, 61.7
43, 649.3452, 91.12441999999997, 171.13333333333333, 56.13333333333333, 61.6
44, 648.7416, 91.69625666666666, 172.6, 56.38333333333333, 61.483333333333334
45, 648.1379999999999, 92.37973166666664, 173.51666666666668, 57.0, 61.9
46, 647.5344, 92.54328666666666, 174.3, 56.983333333333334, 61.36666666666667
47, 646.9308, 92.92499500000002, 174.88333333333333, 57.333333333333336, 61.38333333333333
48, 646.3272, 93.38040666666666, 176.43333333333334, 57.31666666666667, 61.4
49, 645.7235999999999, 93.97511333333335, 177.36666666666667, 57.78333333333333, 61.766666666666666
50, 645.12, 95.102855, 179.78333333333333, 58.38333333333333, 62.233333333333334
51, 644.5164, 95.26552833333336, 180.21666666666667, 58.43333333333333, 62.266666666666666
52, 643.9128, 95.89241999999999, 181.96666666666667, 58.61666666666667, 62.233333333333334
53, 643.3091999999999, 95.85411166666664, 182.21666666666667, 58.45, 62.1
54, 642.7056, 95.91102500000004, 183.08333333333334, 58.18333333333333, 61.7
55, 642.102, 96.36742833333334, 183.71666666666667, 58.583333333333336, 61.983333333333334
56, 641.4984, 96.89936000000003, 185.4, 58.6, 62.15
57, 640.8947999999999, 97.55058166666667, 186.18333333333334, 59.21666666666667, 62.63333333333333
58, 640.2912, 97.94718833333333, 187.61666666666667, 59.13333333333333, 62.78333333333333
59, 639.6876, 98.70571666666669, 188.5, 59.833333333333336, 63.516666666666666
