Extraction [ img/SOLs2.png ] effectuee 2026-04-16 16:42:02.546011
Calibration: -0.6036*x + 675.3 [Largeur 500]

pixel, longueur d'onde, intensite, r, g, b
0, 675.3, 13.639315999999999, 29.24, 6.96, 7.14
1, 674.6963999999999, 13.571280000000002, 29.2, 6.88, 7.06
2, 674.0928, 14.420535999999995, 29.64, 8.06, 7.28
3, 673.4892, 14.915925999999995, 30.14, 8.56, 7.74
4, 672.8856, 14.66092, 30.8, 7.84, 7.48
5, 672.2819999999999, 14.620923999999995, 30.76, 7.8, 7.44
6, 671.6784, 14.402586, 31.14, 7.32, 7.0
7, 671.0748, 14.962530000000001, 31.7, 7.88, 7.56
8, 670.4712, 16.058386000000002, 33.14, 8.8, 8.66
9, 669.8675999999999, 15.638427999999992, 32.72, 8.38, 8.24
10, 669.264, 16.017505999999994, 33.34, 8.78, 7.88
11, 668.6604, 16.27748, 33.6, 9.04, 8.14
12, 668.0568, 17.064617999999996, 34.62, 9.78, 8.56
13, 667.4531999999999, 17.395464, 34.96, 10.12, 8.82
14, 666.8496, 17.47657600000001, 35.84, 9.88, 8.46
15, 666.246, 17.97914600000001, 36.34, 10.4, 8.88
16, 665.6424, 18.146868000000005, 36.72, 10.5, 8.84
17, 665.0387999999999, 17.806902, 36.38, 10.16, 8.5
18, 664.4352, 18.618940000000006, 37.6, 10.86, 8.82
19, 663.8316, 19.298474000000002, 38.26, 11.6, 9.24
20, 663.228, 19.887299999999996, 39.2, 12.14, 9.16
21, 662.6243999999999, 19.869059999999994, 39.2, 12.14, 9.0
22, 662.0208, 19.992635999999997, 39.84, 12.18, 8.2
23, 661.4172, 20.575322, 40.38, 12.82, 8.6
24, 660.8136, 20.913852000000002, 41.28, 13.02, 8.18
25, 660.2099999999999, 21.614122000000002, 41.98, 13.74, 8.78
26, 659.6064, 21.448268000000006, 42.52, 13.4, 7.66
27, 659.0028, 21.882925999999998, 42.94, 13.88, 7.9
28, 658.3992, 21.550308, 43.52, 13.22, 6.86
29, 657.7955999999999, 22.684374000000002, 44.66, 14.42, 7.64
30, 657.192, 24.076203999999997, 46.36, 15.84, 8.08
31, 656.5884, 24.686963999999993, 46.96, 16.54, 8.26
32, 655.9848, 25.781162, 48.38, 17.58, 8.78
33, 655.3811999999999, 25.97674, 48.6, 17.84, 8.58
34, 654.7776, 26.153831999999998, 49.08, 17.94, 8.36
35, 654.174, 26.601648000000004, 49.52, 18.44, 8.56
36, 653.5704, 26.73905, 49.9, 18.5, 8.46
37, 652.9667999999999, 26.810601999999996, 49.98, 18.62, 8.26
38, 652.3632, 27.417454000000003, 51.06, 19.1, 8.28
39, 651.7596, 27.36041999999999, 51.0, 19.08, 8.04
40, 651.156, 27.631956, 51.64, 19.24, 7.92
41, 650.5523999999999, 28.193997999999993, 52.22, 19.84, 8.24
42, 649.9488, 28.994508000000007, 53.12, 20.66, 8.68
43, 649.3452, 29.062362000000007, 53.18, 20.78, 8.5
44, 648.7416, 29.600528000000008, 53.92, 21.32, 8.5
45, 648.1379999999999, 29.926416000000003, 54.24, 21.72, 8.46
46, 647.5344, 30.573317999999993, 54.22, 22.84, 8.42
47, 646.9308, 30.947061999999995, 54.58, 23.34, 8.18
48, 646.3272, 31.001358, 54.42, 23.58, 7.84
49, 645.7235999999999, 31.04046799999999, 54.52, 23.72, 7.2
50, 645.12, 31.652873999999983, 55.46, 24.44, 6.4
51, 644.5164, 31.868449999999992, 55.7, 24.72, 6.22
52, 643.9128, 32.49094999999999, 56.3, 25.44, 6.4
53, 643.3091999999999, 33.028615999999985, 56.84, 25.98, 6.92
54, 642.7056, 33.98858800000001, 57.92, 26.98, 7.36
55, 642.102, 33.781767999999985, 57.72, 26.78, 7.1
56, 641.4984, 34.26422600000001, 58.34, 27.36, 6.72
57, 640.8947999999999, 34.39401400000003, 58.46, 27.52, 6.72
58, 640.2912, 35.01491400000002, 59.06, 28.28, 6.68
59, 639.6876, 35.090346, 59.14, 28.36, 6.72
60, 639.084, 35.74449000000001, 59.5, 29.26, 6.88
61, 638.4803999999999, 36.41530200000002, 60.18, 29.94, 7.48
62, 637.8768, 36.005981999999996, 59.78, 29.66, 6.38
63, 637.2732, 36.95676600000001, 60.74, 30.62, 7.26
64, 636.6696, 37.524534000000024, 61.06, 31.3, 7.9
65, 636.0659999999999, 37.29999600000002, 60.84, 31.08, 7.64
66, 635.4624, 37.868294, 61.06, 31.94, 7.62
67, 634.8588, 37.819824, 60.96, 31.92, 7.56
68, 634.2552, 38.53923000000001, 61.7, 32.66, 8.12
69, 633.6515999999999, 38.415452, 61.48, 32.6, 7.92
70, 633.048, 38.655863999999994, 61.36, 33.16, 7.46
71, 632.4444, 39.645566, 62.34, 34.18, 8.32
72, 631.8408, 39.841694000000004, 62.06, 34.68, 8.2
73, 631.2371999999999, 39.82095799999999, 62.02, 34.7, 8.02
74, 630.6336, 40.360781999999986, 61.98, 35.64, 8.02
75, 630.03, 39.83759999999996, 61.4, 35.18, 7.32
76, 629.4264, 40.346025999999995, 61.34, 36.1, 7.2
77, 628.8227999999999, 41.97384799999999, 62.92, 37.82, 8.48
78, 628.2192, 42.171676000000005, 62.64, 38.42, 7.86
79, 627.6156, 42.40367600000001, 62.84, 38.76, 7.62
80, 627.012, 43.946329999999996, 64.1, 40.56, 8.58
81, 626.4083999999999, 44.290829999999985, 64.3, 41.08, 8.4
82, 625.8048, 44.204247999999986, 63.52, 41.52, 7.42
83, 625.2012, 44.202588000000006, 63.32, 41.72, 6.9
84, 624.5975999999999, 44.260490000000026, 63.1, 42.02, 6.44
85, 623.9939999999999, 44.549341999999996, 63.38, 42.42, 6.18
86, 623.3904, 45.41964, 63.8, 43.58, 6.74
87, 622.7868, 45.6676, 64.0, 43.92, 6.64
88, 622.1831999999999, 45.550132000000005, 63.08, 44.2, 6.58
89, 621.5795999999999, 45.748203999999994, 63.16, 44.52, 6.46
90, 620.976, 46.655966, 63.34, 45.8, 7.36
91, 620.3724, 46.999786, 63.54, 46.28, 7.38
92, 619.7687999999999, 47.886780000000016, 63.8, 47.48, 8.3
93, 619.1651999999999, 48.25368400000003, 64.16, 47.98, 8.0
94, 618.5616, 49.93730800000001, 65.32, 50.04, 9.12
95, 617.958, 50.163363999999994, 65.56, 50.4, 8.62
96, 617.3543999999999, 49.77043200000001, 64.88, 50.24, 7.78
97, 616.7507999999999, 50.402083999999995, 65.36, 51.06, 7.84
98, 616.1472, 50.95318800000001, 65.72, 51.8, 7.92
99, 615.5436, 52.089782000000014, 66.78, 53.08, 8.52
100, 614.9399999999999, 52.26391, 66.9, 53.3, 8.6
101, 614.3363999999999, 52.62591400000001, 67.26, 53.78, 8.36
102, 613.7328, 52.256986, 66.74, 53.56, 7.62
103, 613.1292, 52.774754, 67.26, 54.22, 7.4
104, 612.5255999999999, 52.94188999999999, 67.1, 54.66, 7.02
105, 611.9219999999999, 53.72209399999999, 67.86, 55.54, 7.34
106, 611.3184, 54.736540000000005, 68.4, 56.9, 7.82
107, 610.7148, 54.26651199999999, 67.88, 56.5, 7.12
108, 610.1111999999999, 54.63486000000001, 67.6, 57.34, 6.76
109, 609.5075999999999, 57.01576600000001, 69.94, 59.82, 8.74
110, 608.904, 58.090114000000014, 70.46, 61.3, 9.18
111, 608.3004, 57.85275800000002, 70.22, 61.08, 8.86
112, 607.6967999999999, 57.96963199999999, 69.88, 61.46, 8.82
113, 607.0931999999999, 57.56058399999999, 69.36, 61.16, 8.14
114, 606.4896, 58.93141399999999, 69.66, 63.16, 9.08
115, 605.886, 60.354352, 70.68, 64.82, 10.34
116, 605.2823999999999, 60.85620800000001, 70.32, 65.8, 10.64
117, 604.6787999999999, 61.74255799999996, 70.82, 66.9, 11.44
118, 604.0752, 62.005882000000014, 70.38, 67.46, 12.02
119, 603.4716, 62.22850999999998, 70.3, 67.88, 12.02
120, 602.8679999999999, 62.66350200000001, 70.18, 68.62, 12.34
121, 602.2643999999999, 63.043404, 70.36, 69.16, 12.42
122, 601.6608, 63.591449999999995, 70.1, 70.16, 12.76
123, 601.0572, 64.59403200000001, 70.68, 71.46, 13.34
124, 600.4535999999999, 64.84395599999999, 70.04, 72.2, 13.4
125, 599.8499999999999, 65.08944399999999, 69.36, 72.98, 13.32
126, 599.2464, 65.30048200000002, 68.58, 73.76, 13.2
127, 598.6428, 66.86820799999998, 69.12, 75.88, 14.62
128, 598.0391999999999, 66.983352, 68.28, 76.5, 14.64
129, 597.4355999999999, 67.957708, 68.52, 77.96, 15.04
130, 596.832, 68.423456, 68.04, 79.06, 14.72
131, 596.2284, 69.474136, 68.04, 80.78, 15.08
132, 595.6247999999999, 69.83449799999998, 67.62, 81.6, 15.12
133, 595.0211999999999, 70.10707399999997, 67.06, 82.4, 14.86
134, 594.4176, 70.03074399999998, 65.96, 82.9, 14.5
135, 593.814, 69.92628800000001, 65.32, 83.18, 13.82
136, 593.2103999999999, 70.25623599999999, 64.64, 84.1, 13.76
137, 592.6067999999999, 70.950714, 64.86, 85.14, 13.92
138, 592.0032, 71.49697599999999, 64.44, 86.3, 13.84
139, 591.3996, 71.70896800000001, 63.72, 87.02, 13.88
140, 590.7959999999999, 72.174992, 63.48, 87.94, 13.86
141, 590.1923999999999, 72.64763199999999, 62.48, 89.2, 14.14
142, 589.5888, 73.77170200000003, 62.38, 90.96, 15.2
143, 588.9852, 73.72883399999999, 61.26, 91.5, 14.98
144, 588.3815999999999, 75.16501600000001, 61.84, 93.36, 16.48
145, 587.7779999999999, 75.13092599999999, 60.54, 93.96, 16.5
146, 587.1744, 75.23001399999998, 59.26, 94.8, 16.4
147, 586.5708, 75.58540800000003, 57.92, 96.08, 16.44
148, 585.9671999999999, 75.922684, 57.16, 96.96, 16.86
149, 585.3635999999999, 76.43852199999999, 55.58, 98.62, 16.98
150, 584.76, 76.27624599999997, 53.54, 99.46, 16.58
151, 584.1564, 75.70975199999998, 50.68, 100.06, 16.02
152, 583.5527999999999, 76.33257400000001, 49.66, 101.52, 16.64
